SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Strathalbyn,19,9,151,102,187,213,0,14,30,60,792
Strathalbyn Region,20,13,135,102,163,208,4,10,38,83,771
Victor Harbor,25,22,203,129,264,356,0,17,36,70,1129
Yankalilla,15,5,76,59,113,153,3,14,15,27,483
Grant,12,7,87,60,129,200,0,7,27,40,565
Kingston - Robe,5,12,61,41,66,115,0,9,17,36,358
Millicent,3,8,71,42,108,201,0,16,22,39,507
Naracoorte,19,19,148,71,122,241,4,25,48,52,748
Naracoorte Region,5,8,57,27,40,62,0,0,13,10,226
Penola,14,3,61,25,69,129,0,7,14,22,349
Tatiara,7,12,128,86,130,266,0,13,30,66,737
Wattle Range,9,4,61,37,59,116,5,10,9,23,323
Mount Gambier - East,50,33,304,153,394,643,0,48,59,113,1798
Mount Gambier - West,36,33,268,149,358,569,9,56,63,112,1648
Barmera,13,8,99,68,117,213,0,26,19,57,632
Berri,9,10,83,56,97,150,0,17,25,49,498
Karoonda - Lameroo,6,0,65,26,55,98,0,9,14,31,299
Loxton,14,12,112,70,126,170,0,11,17,31,568
Loxton Region,0,8,32,5,39,50,0,7,3,18,162
Mannum,11,4,77,63,103,176,0,17,21,47,518
Murray Bridge,33,20,228,167,414,782,6,84,113,178,2023
Murray Bridge Region,7,9,62,43,87,98,0,8,20,29,372
Renmark,12,6,75,56,90,175,3,25,31,64,534
Renmark Region,10,7,85,59,102,194,0,17,25,59,553
The Coorong,6,5,74,57,105,184,0,30,24,59,549
Waikerie,12,13,82,57,130,220,0,23,16,44,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0
No Usual Address (SA),18,11,71,29,35,80,0,19,12,86,353
Augusta,11,25,175,67,110,163,0,7,19,60,635
Busselton,57,96,564,375,665,965,5,45,120,225,3110
Busselton Region,51,50,405,188,220,335,0,5,51,135,1455
Margaret River,55,57,402,184,224,377,0,5,60,125,1483
Australind - Leschenault,36,63,413,289,529,830,0,28,71,187,2449
Capel,12,18,119,70,126,208,0,3,24,46,633
College Grove - Carey Park,8,26,127,85,161,287,0,21,40,94,854
Collie,10,13,102,86,216,423,0,21,30,112,1015
Dardanup,8,4,78,28,72,105,0,0,8,21,324
Davenport,0,0,0,0,0,0,0,0,0,0,0
Eaton - Pelican Point,27,29,247,174,381,544,0,24,61,110,1604
Harvey,10,25,158,95,185,354,3,25,39,104,1005
East Bunbury - Glen Iris,24,12,152,90,200,327,0,16,36,59,918
Waroona,5,5,58,35,99,159,0,9,15,56,436
Dalyellup,41,42,288,157,264,443,0,20,48,108,1410
Gelorup - Stratham,7,11,79,32,46,79,0,0,14,17,286
South Bunbury - Bunbury,74,70,376,184,237,360,0,18,46,136,1502
Withers - Usher,13,11,77,55,160,261,0,26,20,81,713
Bridgetown - Boyup Brook,10,9,136,65,108,190,4,14,27,49,612
Donnybrook - Balingup,14,15,112,67,126,190,3,10,23,65,617
Manjimup,10,15,86,40,127,238,0,15,18,55,616
Pemberton,9,14,74,48,72,158,0,10,14,44,441
Dawesville - Bouvard,16,22,137,104,176,278,0,14,36,66,855
Falcon - Wannanup,14,26,161,135,184,313,0,13,36,71,961
Greenfields,22,21,126,102,217,437,3,40,48,82,1095
Halls Head - Erskine,48,57,361,255,370,677,0,26,86,140,2005
Mandurah,39,28,177,100,157,319,5,29,32,111,1001
Mandurah - East,13,12,60,48,126,227,0,14,21,40,554
Mandurah - North,71,73,458,354,541,794,4,26,104,160,2583
Mandurah - South,29,15,125,98,196,345,0,29,51,97,978
Pinjarra,16,22,150,92,259,416,0,24,42,114,1137
City Beach,73,32,250,40,14,42,0,0,14,33,498
Claremont (WA),147,44,442,51,48,94,0,3,16,90,943
Cottesloe,107,49,478,55,43,91,0,0,22,68,913
Floreat,127,62,424,70,25,103,0,0,19,33,867
Mosman Park - Peppermint Grove,207,76,566,101,67,172,0,0,38,127,1357
Nedlands - Dalkeith - Crawley,447,99,961,96,51,197,0,5,27,106,1991
Swanbourne - Mount Claremont,122,60,396,80,28,93,0,4,23,56,866
Kings Park (WA),0,0,0,0,0,0,0,0,0,0,5
Mount Hawthorn - Leederville,249,146,887,194,115,247,0,18,43,120,2016
Mount Lawley - Inglewood,305,161,1101,281,174,432,0,8,57,250,2772
North Perth,168,90,668,143,98,220,0,6,25,111,1538
Perth City,1004,302,2902,719,420,923,0,42,187,1244,7740
Subiaco - Shenton Park,443,157,1153,214,106,247,0,9,47,231,2603
Wembley - West Leederville - Glendalough,473,158,1376,320,193,456,0,19,80,300,3373
Bassendean - Eden Hill - Ashfield,152,112,675,270,295,546,3,36,76,137,2299
Bayswater - Embleton - Bedford,322,181,1311,462,389,710,4,59,114,235,3783
Maylands,308,130,1016,304,245,436,0,23,80,250,2789
Morley,248,93,907,382,404,828,5,92,117,231,3298
Noranda,64,33,266,110,102,242,0,17,20,47,901
Chidlow,11,10,45,30,67,92,0,6,22,38,330
Glen Forrest - Darlington,57,42,241,97,76,147,0,3,21,38,724
Helena Valley - Koongamia,26,23,146,80,137,217,0,3,25,44,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0,0,0,0
Mundaring,53,53,311,172,251,400,0,12,43,104,1403
Swan View - Greenmount - Midvale,39,37,232,177,264,518,0,34,55,97,1463
Avon Valley National Park,0,0,0,0,0,0,0,0,0,0,0
Ballajura,71,37,428,290,368,868,4,99,96,129,2391
Beechboro,142,48,552,336,415,847,3,104,153,501,3092
Bullsbrook,8,12,93,77,126,241,0,18,33,88,699
Ellenbrook,239,121,1267,951,1140,2022,11,86,254,473,6554
Gidgegannup,17,5,73,34,64,68,0,0,16,30,302
Hazelmere - Guildford,25,23,171,69,87,193,0,7,18,43,647
Lockridge - Kiara,83,45,386,232,253,522,0,33,74,144,1772
Malaga,0,0,0,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,25,17,103,81,108,226,0,14,30,65,665
Midland - Guildford,59,48,343,162,222,424,0,30,55,194,1545
Stratton - Jane Brook,20,24,140,133,183,383,0,23,42,69,1011
The Vines,48,44,291,220,227,462,0,16,55,88,1449
Walyunga National Park,0,0,0,0,0,0,0,0,0,0,0
Craigie - Beldon,63,52,430,208,278,438,0,16,44,114,1652
Currambine - Kinross,77,59,499,271,250,481,3,11,65,87,1805
Duncraig,137,115,636,214,183,333,0,16,59,61,1760
Greenwood - Warwick,105,100,587,211,234,395,0,18,70,95,1819
Heathridge - Connolly,59,53,376,221,220,380,3,17,57,93,1473
Hillarys,72,54,424,158,110,231,0,9,45,57,1157
Iluka - Burns Beach,64,48,320,135,105,235,0,5,50,33,1000
Joondalup - Edgewater,152,84,557,269,233,416,0,13,63,93,1894
Kingsley,92,67,519,204,200,303,0,10,41,80,1509
Mullaloo - Kallaroo,77,58,436,174,136,289,0,4,59,80,1324
Ocean Reef,41,22,261,115,84,179,0,3,37,39,781
Padbury,59,57,415,173,165,249,0,13,35,60,1224
Sorrento - Marmion,65,69,350,107,83,163,0,6,28,51,927
Woodvale,60,43,299,122,115,208,0,0,46,34,928
Balcatta - Hamersley,137,78,735,315,289,528,0,25,93,162,2378
Balga - Mirrabooka,137,58,588,403,389,925,10,196,208,339,3243
Dianella,252,132,1019,342,323,730,0,64,115,194,3176
Herdsman,0,0,0,0,0,0,0,0,0,0,0
Innaloo - Doubleview,285,179,1266,339,288,525,0,19,106,284,3288
Karrinyup - Gwelup - Carine,253,144,1004,272,222,437,0,7,63,145,2549
Nollamara - Westminster,295,125,1016,514,381,851,4,80,156,334,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0,0,0,0
Scarborough,298,175,1221,381,284,554,0,11,98,293,3310
Stirling - Osborne Park,211,77,815,289,196,432,0,18,83,143,2248
Trigg - North Beach - Watermans Bay,74,42,383,107,92,158,0,0,42,57,948
Tuart Hill - Joondanna,237,88,992,298,256,429,0,19,68,199,2584
Wembley Downs - Churchlands - Woodlands,239,98,798,163,82,203,0,3,46,63,1707
Yokine - Coolbinia - Menora,247,96,866,276,233,442,0,33,72,191,2462
Alexander Heights - Koondoola,48,25,247,158,228,539,4,95,96,120,1567
Butler - Merriwa - Ridgewood,74,85,589,547,661,1230,4,66,155,393,3799
Carramar,101,77,636,493,517,847,4,39,124,175,3019
Clarkson,111,57,462,316,387,648,3,43,95,196,2318
Girrawheen,40,16,187,128,189,406,5,88,75,102,1251
Madeley - Darch - Landsdale,221,135,1162,599,548,1145,0,64,182,199,4251
Marangaroo,55,38,280,181,195,478,0,54,81,102,1457
Mindarie - Quinns Rocks - Jindalee,91,60,524,353,383,640,0,23,100,156,2336
Neerabup National Park,0,0,0,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,82,76,510,324,303,564,0,21,96,121,2098
Wanneroo,128,121,962,528,624,1168,0,49,159,202,3945
Alkimos - Eglinton,45,38,364,278,310,433,0,9,46,160,1677
Carabooda - Pinjar,0,0,9,8,9,26,0,4,4,20,86
Two Rocks,6,16,43,50,82,124,0,11,18,47,402
Yanchep,23,36,181,191,278,439,0,15,60,139,1369
Armadale - Wungong - Brookdale,92,27,393,296,504,977,0,81,110,272,2745
Ashendon - Lesley,0,0,0,0,0,0,0,0,0,0,0
Camillo - Champion Lakes,22,13,113,87,112,282,5,21,33,47,738
Forrestdale - Harrisdale - Piara Waters,377,156,1336,556,517,934,4,30,114,168,4193
Kelmscott,62,30,244,166,254,423,3,35,60,126,1401
Mount Nasura - Mount Richon - Bedfordale,33,18,186,128,149,263,0,9,38,52,881
Roleystone,32,30,201,117,144,218,0,11,23,58,841
Seville Grove,61,21,242,229,347,635,0,39,82,120,1778
Belmont - Ascot - Redcliffe,146,68,603,239,304,591,0,50,83,258,2337
East Victoria Park - Carlisle,355,158,1185,353,261,519,0,30,83,311,3252
Kewdale Commercial,0,0,0,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,366,131,1316,467,435,1013,3,95,155,531,4502
Victoria Park - Lathlain - Burswood,362,100,1020,316,230,461,0,20,67,267,2846
Bentley - Wilson - St James,354,111,1093,311,207,536,3,42,83,358,3097
Canning Vale - West,113,55,423,127,129,304,0,22,45,46,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0,0,0,0
Cannington - Queens Park,411,103,1142,373,298,715,4,78,117,278,3532
Parkwood - Ferndale - Lynwood,152,82,622,214,242,468,4,45,73,97,1990
Riverton - Shelley - Rossmoyne,198,58,626,143,98,279,0,10,43,55,1527
Welshpool,0,0,0,0,0,0,0,0,0,0,0
Willetton,278,89,843,250,167,424,3,38,63,76,2240
Beckenham - Kenwick - Langford,240,58,764,333,333,858,0,98,139,219,3038
Canning Vale - East,389,88,1205,382,343,781,4,82,131,156,3572
Gosnells,109,34,445,329,460,1058,3,110,127,288,2964
Huntingdale - Southern River,226,70,801,428,415,925,0,70,116,165,3216
Maddington - Orange Grove - Martin,109,22,335,221,252,622,0,73,104,149,1889
Thornlie,166,97,754,387,432,978,4,90,148,197,3246
Forrestfield - Wattle Grove,162,58,659,322,460,915,0,47,132,193,2956
High Wycombe,42,50,324,204,334,648,0,42,63,137,1838
Kalamunda - Maida Vale - Gooseberry Hill,81,53,406,209,221,405,0,18,55,96,1544
Lesmurdie - Bickley - Carmel,57,52,313,150,160,270,0,7,45,58,1118
Byford,92,70,456,404,591,942,5,43,100,199,2906
Mundijong,22,16,125,88,134,254,0,13,32,55,735
Serpentine - Jarrahdale,5,11,75,41,95,152,0,0,23,56,451
Como,334,138,990,232,176,288,0,20,49,183,2409
Manning - Waterford,165,58,525,134,95,207,0,15,41,70,1316
South Perth - Kensington,373,122,1027,215,142,311,0,11,55,235,2485
Banjup,205,125,966,453,402,706,0,30,115,137,3148
Bibra Industrial,0,0,0,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0,0,0,0
Coogee,54,37,300,151,168,317,0,15,45,61,1154
Coolbellup,77,52,333,140,168,300,0,10,36,99,1208
Hamilton Hill,104,63,425,178,185,353,0,25,62,173,1569
Henderson,0,0,0,0,0,0,0,0,0,0,0
North Coogee,31,11,149,49,36,58,0,0,6,48,390
South Lake - Cockburn Central,115,61,507,149,224,459,0,26,50,114,1710
Spearwood,70,39,314,182,201,392,0,23,52,123,1387
Success - Hammond Park,235,118,880,408,365,669,0,44,93,216,3025
Yangebup,35,51,261,139,196,348,0,28,50,84,1189
Beeliar - Wattleup,75,48,364,197,211,394,0,11,59,92,1443
Jandakot,8,17,82,37,31,59,0,10,3,19,271
East Fremantle,99,45,359,107,67,126,0,0,24,59,874
Fremantle,295,136,912,175,170,332,4,14,43,308,2386
Fremantle - South,190,101,767,188,188,375,0,22,56,172,2055
O'Connor (WA),0,0,0,0,0,0,0,0,0,0,0
Bertram - Wellard (West),182,99,735,349,445,809,3,35,96,197,2946
Calista,32,24,139,104,180,402,0,37,50,113,1072
Hope Valley - Postans,0,0,0,0,0,3,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,0,0,0,0,0,4
Parmelia - Orelia,32,22,187,154,285,625,0,42,57,174,1586
Casuarina - Wandi,47,41,259,109,132,244,0,11,26,65,937
Applecross - Ardross,180,82,595,122,80,181,0,6,29,74,1346
Bateman,53,17,203,46,22,66,0,0,9,15,434
Bicton - Palmyra,146,121,790,231,163,349,0,12,62,117,1993
Booragoon,222,94,751,145,138,254,3,12,40,117,1791
Bull Creek,93,63,352,91,52,142,0,4,29,32,859
Leeming,88,69,464,164,119,236,0,9,41,48,1239
Melville,182,99,794,213,180,329,0,7,68,105,1988
Murdoch - Kardinya,159,57,569,163,97,242,0,15,30,74,1404
Willagee,46,37,253,91,70,175,0,9,21,57,751
Winthrop,77,27,275,55,32,94,0,0,18,21,605
Baldivis,143,145,989,780,1199,1845,5,56,223,510,5904
Cooloongup,17,15,104,118,215,390,0,34,40,104,1035
Port Kennedy,31,29,241,259,410,717,0,35,86,167,1968
Rockingham,39,31,267,188,312,568,0,47,64,199,1711
Rockingham Lakes,0,0,0,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,52,49,220,163,250,399,0,22,51,94,1294
Singleton - Golden Bay - Secret Harbour,63,86,558,416,646,953,0,33,105,198,3054
Waikiki,40,33,256,195,310,594,0,38,63,119,1651
Warnbro,22,23,178,163,295,539,3,35,50,142,1450
Albany,50,43,345,192,291,437,6,21,54,106,1561
Albany Region,8,9,68,40,66,91,0,0,12,32,333
Bayonet Head - Lower King,15,18,101,81,112,163,0,5,14,35,558
Denmark,29,24,123,68,93,140,0,0,27,68,571
Gnowangerup,4,19,77,33,54,114,0,4,12,49,369
Katanning,11,12,106,35,81,193,0,33,30,76,578
Kojonup,11,11,109,41,82,141,0,10,11,69,491
Little Grove - Elleker,9,13,75,46,51,90,0,0,11,15,304
McKail - Willyung,11,18,179,135,301,483,0,36,50,102,1319
Plantagenet,9,14,62,44,100,189,0,13,25,48,496
Stirling Range National Park,0,0,0,0,0,0,0,0,0,0,0
Chittering,8,13,72,89,124,209,0,9,21,65,613
Cunderdin,10,11,82,21,64,174,0,4,13,54,434
Dowerin,3,16,95,41,76,169,0,5,17,47,456
Gingin - Dandaragan,16,10,133,86,142,348,0,19,45,98,907
Merredin,5,23,107,51,79,234,0,11,26,48,580
Moora,11,15,119,53,70,202,0,13,19,71,577
Mukinbudin,6,9,73,27,51,144,0,3,13,48,364
Northam,20,13,180,107,217,482,0,27,49,139,1240
Toodyay,7,11,50,36,59,150,0,10,12,41,371
York - Beverley,3,13,94,44,86,152,0,6,20,65,483
Brookton,6,13,57,33,58,129,0,11,20,50,377
Kulin,7,18,139,52,66,161,0,6,20,58,531
Murray,4,10,52,34,44,118,0,5,12,26,311
Narrogin,9,15,73,57,88,178,0,11,21,55,522
Wagin,7,15,98,48,81,186,0,9,16,71,529
Broome,101,83,588,306,339,616,0,37,89,391,2555
Derby - West Kimberley,42,39,145,48,139,493,4,41,29,257,1235
Halls Creek,7,0,45,18,25,197,3,49,10,192,553
Kununurra,33,40,262,101,135,340,0,51,38,224,1219
Roebuck,5,4,39,8,31,170,0,12,0,50,321
East Pilbara,9,6,66,49,100,270,3,38,26,185,746
Newman,17,11,140,80,127,264,0,7,17,121,798
Port Hedland,27,37,204,95,118,208,0,9,32,113,841
South Hedland,32,44,246,185,253,582,0,42,41,324,1739
Ashburton (WA),33,32,265,165,291,492,0,18,40,221,1563
Karratha,102,82,611,355,406,906,4,34,105,407,3005
Roebourne,16,16,124,78,132,277,0,29,21,93,782
Esperance,25,45,227,151,245,515,0,24,47,167,1449
Esperance Region,4,8,93,49,67,154,0,6,18,84,485
Carnarvon,16,12,98,51,66,234,0,32,25,137,680
Exmouth,21,15,145,68,93,210,0,13,24,96,684
Boulder,12,7,72,90,152,473,0,30,30,161,1043
Kalgoorlie,72,52,402,210,321,778,0,55,76,253,2225
Kalgoorlie - North,65,52,329,173,206,494,0,18,43,141,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,7,3,55,52,90,242,0,29,26,98,614
Leinster - Leonora,15,16,53,27,57,211,0,107,16,173,664
Trafalgar (WA),0,0,0,0,0,0,0,0,0,0,0
Geraldton,37,47,248,118,188,442,0,39,30,151,1302
Geraldton - East,0,17,99,111,195,380,0,28,37,158,1013
Geraldton - North,13,30,174,111,231,331,0,20,42,89,1053
Geraldton - South,41,56,289,172,236,457,0,25,53,96,1429
Irwin,8,7,52,34,77,127,0,8,10,37,360
Meekatharra,7,4,46,20,37,118,0,22,7,106,379
Morawa,10,13,75,35,60,156,0,11,19,55,429
Northampton - Mullewa - Greenough,4,12,106,50,92,223,0,11,20,72,596
Migratory - Offshore - Shipping (WA),0,0,0,0,0,4,0,0,0,3,14
No Usual Address (WA),32,10,184,58,82,165,0,17,31,258,838
Bridgewater - Gagebrook,7,0,28,61,147,515,4,42,39,143,987
Brighton - Pontville,10,11,46,77,212,347,0,14,29,44,785
Old Beach - Otago,15,12,88,81,133,181,0,3,22,36,584
Bellerive - Rosny,59,39,223,49,84,147,0,9,19,36,664
Cambridge,59,39,225,106,157,213,0,5,26,27,849
Geilston Bay - Risdon,43,22,113,57,57,109,0,0,12,8,428
Howrah - Tranmere,78,56,362,148,211,305,0,7,38,51,1263
Lindisfarne - Rose Bay,75,48,291,59,96,182,0,6,18,38,808
Mornington - Warrane,19,21,97,72,124,250,0,18,32,40,679
Risdon Vale,6,4,26,25,67,154,0,9,17,68,377
Rokeby,17,15,95,79,214,417,0,27,38,75,957
South Arm,26,30,147,46,77,110,0,7,12,26,482
Austins Ferry - Granton,9,13,70,74,125,194,0,8,15,27,524
Berriedale - Chigwell,19,14,83,45,169,234,0,27,45,53,694
Claremont (Tas.),28,15,80,91,241,428,0,22,30,59,991
Derwent Park - Lutana,35,20,102,50,120,179,0,17,15,45,580
Glenorchy,49,25,170,130,265,513,6,55,71,129,1404
Montrose - Rosetta,28,19,84,65,135,196,0,6,14,37,586
Moonah,47,35,141,68,128,188,7,36,53,62,755
New Norfolk,8,10,38,51,173,358,0,22,29,70,774
West Moonah,42,18,137,42,89,161,0,15,32,43,578
Kingston - Huntingfield,135,66,432,158,231,392,0,10,50,89,1566
Kingston Beach - Blackmans Bay,121,61,386,124,159,262,0,9,42,60,1214
Margate - Snug,67,46,237,134,200,239,0,11,36,44,1010
Mount Wellington,0,0,0,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,61,14,154,32,30,36,0,0,7,19,351
Hobart,224,57,456,100,84,188,0,0,23,125,1253
Lenah Valley - Mount Stuart,145,86,441,104,138,181,0,6,20,62,1180
Mount Nelson - Dynnyrne,105,42,230,42,36,93,0,0,8,36,593
New Town,111,50,279,59,89,142,5,17,24,64,837
Sandy Bay,347,73,594,84,66,212,0,14,28,94,1515
South Hobart - Fern Tree,160,60,356,73,55,85,0,6,8,51,850
West Hobart,127,79,368,75,54,148,0,6,8,54,915
Dodges Ferry - Lewisham,29,15,125,110,204,288,0,11,29,62,884
Sorell - Richmond,34,27,168,122,217,343,0,16,21,73,1015
Invermay,14,8,79,29,73,117,0,13,19,40,394
Kings Meadows - Punchbowl,20,11,106,55,110,183,0,9,32,49,568
Launceston,59,22,220,58,68,94,0,6,44,67,637
Legana,12,15,117,49,86,118,0,3,17,26,446
Mowbray,29,16,70,34,79,160,3,30,26,48,479
Newnham - Mayfield,44,19,147,72,183,461,3,45,70,108,1148
Newstead,38,27,178,81,77,152,0,9,24,33,619
Norwood (Tas.),21,11,103,42,76,122,0,8,12,24,417
Prospect Vale - Blackstone,31,18,155,70,142,246,0,3,31,51,748
Ravenswood,0,0,24,25,75,212,0,20,15,62,447
Riverside,35,21,211,86,117,213,0,3,26,37,756
South Launceston,35,25,203,50,100,166,0,3,26,50,662
Summerhill - Prospect,13,5,122,55,139,214,0,8,19,38,617
Trevallyn,45,34,181,53,84,129,0,5,9,34,574
Waverley - St Leonards,6,11,74,37,98,166,0,6,17,43,463
West Launceston,38,19,192,50,83,129,0,9,17,32,568
Youngtown - Relbia,15,24,102,55,114,192,0,8,12,41,557
Beauty Point - Beaconsfield,5,8,24,27,68,117,0,10,12,29,301
Deloraine,6,8,103,40,117,203,0,12,24,65,586
Grindelwald - Lanena,20,25,113,62,100,147,0,0,20,62,545
Hadspen - Carrick,6,17,71,50,95,136,0,3,11,19,406
Westbury,8,7,79,37,78,134,0,7,16,27,399
Dilston - Lilydale,16,9,90,44,81,122,0,6,14,38,420
George Town,9,5,78,49,119,309,0,29,25,77,706
Longford,9,0,55,31,72,163,0,8,17,43,398
Northern Midlands,7,4,62,41,52,164,0,9,9,58,406
Perth - Evandale,20,12,82,50,108,203,3,19,19,53,563
St Helens - Scamander,10,8,75,43,97,194,0,12,21,44,499
Flinders and Cape Barren Islands,3,10,12,14,12,22,0,0,0,11,83
Scottsdale - Bridport,9,3,83,53,122,282,0,14,21,68,656
Central Highlands,9,0,25,20,39,88,0,3,7,13,200
Derwent Valley,6,9,36,22,72,122,0,7,9,33,322
Southern Midlands,5,3,68,36,133,275,0,9,30,69,634
Wilderness - East,0,0,0,0,0,0,0,0,0,0,5
Bruny Island - Kettering,15,6,64,37,41,61,0,3,5,29,255
Cygnet,11,15,88,35,73,122,0,7,21,41,411
Geeveston - Dover,7,8,51,27,56,129,0,15,17,42,345
Huonville - Franklin,33,27,189,109,193,297,0,11,32,84,977
Forestier - Tasman,5,5,22,20,39,60,0,5,6,22,185
Triabunna - Bicheno,10,3,60,40,73,137,0,8,10,38,374
Acton - Upper Burnie,0,5,46,38,88,168,0,11,16,27,402
Burnie - Ulverstone Region,14,13,69,43,112,184,0,9,25,48,516
Burnie - Wivenhoe,8,11,58,41,107,172,0,14,10,33,455
Parklands - Camdale,20,21,115,72,134,276,0,17,23,40,726
Penguin - Sulphur Creek,18,13,98,55,106,185,0,5,26,39,557
Romaine - Havenview,9,9,57,50,83,161,3,8,23,28,422
Somerset,7,12,56,41,85,164,0,13,19,32,421
Ulverstone,16,15,113,79,165,244,0,15,33,38,714
West Ulverstone,9,3,52,36,84,163,0,14,5,38,405
Wynyard,16,14,81,49,134,235,0,14,18,60,623
Devonport,33,14,211,174,367,588,9,36,65,90,1584
East Devonport,0,3,59,31,104,227,0,23,19,40,509
Latrobe,0,11,70,48,124,222,0,10,18,37,538
Miandetta - Don,13,5,79,57,120,157,0,6,8,25,464
Port Sorell,12,13,100,48,138,165,0,0,13,33,522
Quoiba - Spreyton,3,10,47,47,81,112,0,3,15,24,338
Sheffield - Railton,7,10,100,79,125,208,0,7,26,57,629
Turners Beach - Forth,9,6,97,27,74,92,0,3,6,15,333
King Island,6,4,39,8,30,60,0,9,12,13,181
North West,5,5,53,40,92,182,0,7,17,46,442
Smithton,5,0,42,34,97,167,0,13,19,35,420
Waratah,8,10,51,43,70,135,0,6,14,25,360
West Coast (Tas.),8,5,56,36,80,232,0,19,17,54,497
Wilderness - West,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,3,4,0,0,0,0,3
No Usual Address (Tas.),10,0,26,17,14,33,0,4,5,16,120
Darwin Airport,0,0,0,0,0,0,0,0,0,0,3
Darwin City,121,36,462,138,121,272,0,13,52,255,1472
East Point,0,0,0,0,0,0,0,0,0,0,5
Fannie Bay - The Gardens,64,41,197,66,54,80,0,4,8,62,577
Larrakeyah,63,35,237,76,65,118,0,4,18,94,713
Ludmilla - The Narrows,18,12,95,33,51,104,5,24,12,62,420
Parap,48,28,189,62,55,90,0,6,11,66,562
Stuart Park,59,41,264,71,121,186,0,3,22,133,904
Woolner - Bayview - Winnellie,44,15,167,73,55,98,0,0,14,57,513
Alawa,34,20,88,33,29,73,0,19,10,53,352
Anula,24,17,65,35,59,91,3,11,13,38,350
Berrimah,4,0,24,10,20,41,0,15,7,37,161
Brinkin - Nakara,70,28,190,53,48,94,0,12,22,70,584
Buffalo Creek,0,0,0,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0,0,0,0
Coconut Grove,50,23,184,50,45,114,0,26,20,90,595
East Arm,0,0,4,0,0,0,0,0,0,0,4
Jingili,25,16,74,12,21,67,0,6,8,26,261
Karama,30,14,148,67,113,243,0,37,28,120,790
Leanyer,39,35,196,74,85,176,0,23,17,59,708
Lyons (NT),70,43,288,117,133,217,0,6,28,71,973
Malak - Marrara,39,28,141,61,106,159,0,26,17,92,671
Millner,47,22,118,45,48,103,6,7,15,50,456
Moil,21,15,76,27,36,73,0,12,5,37,297
Nightcliff,93,42,252,71,81,93,0,14,19,97,755
Rapid Creek,85,29,228,51,44,99,0,6,13,92,648
Tiwi,42,20,157,35,42,58,0,9,14,39,410
Wagaman,28,7,78,25,35,102,0,5,11,52,345
Wanguri,32,17,73,29,24,53,0,11,3,32,271
Wulagi,14,11,99,48,59,93,0,8,9,52,389
Howard Springs,14,11,79,49,88,113,0,12,17,113,493
Humpty Doo,28,57,206,158,237,350,5,19,44,181,1268
Koolpinyah,0,0,0,0,0,0,0,0,0,0,3
Virginia,5,18,60,50,103,115,0,9,15,47,420
Weddell,11,5,89,65,113,187,0,8,15,97,590
Bakewell,14,18,95,73,130,181,0,7,20,47,586
Driver,23,28,73,57,74,143,0,17,7,65,480
Durack - Marlow Lagoon,19,22,176,120,140,217,0,4,22,68,783
Gray,12,16,96,40,85,156,3,19,15,90,542
Moulden,5,12,45,34,102,168,0,20,10,67,456
Palmerston - North,26,38,146,103,161,215,0,9,20,64,784
Palmerston - South,35,34,158,88,118,154,0,9,22,58,667
Rosebery - Bellamack,44,36,269,149,255,370,3,23,54,104,1314
Woodroffe,12,12,81,46,131,162,0,14,17,73,545
Charles,42,24,135,45,70,188,3,36,26,122,693
East Side,89,46,253,63,92,191,0,26,26,136,924
Flynn (NT),36,31,167,70,96,169,0,34,20,110,737
Larapinta,50,38,166,90,132,184,0,16,23,91,788
Mount Johns,50,35,228,72,66,133,0,9,22,134,749
Petermann - Simpson,15,4,75,44,52,105,0,32,9,109,456
Ross,10,9,53,20,38,74,0,27,10,50,288
Sandover - Plenty,7,5,29,11,26,165,4,106,47,131,528
Tanami,6,0,28,6,24,96,6,203,10,87,467
Yuendumu - Anmatjere,4,0,14,9,5,105,0,139,6,79,364
Barkly,3,3,36,8,35,106,5,111,6,59,380
Tennant Creek,24,9,59,19,48,137,0,63,5,80,446
Alligator,22,8,91,62,66,164,4,44,10,107,575
Daly,4,0,18,0,18,101,0,43,3,50,244
Thamarrurr,10,6,9,7,6,169,3,84,3,145,450
