SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Northgate - Oakden - Gilles Plains,2159,68,81,102,310,367,604,62,78,4,164,4010
Windsor Gardens,1734,54,75,78,245,418,678,45,53,3,178,3557
Dry Creek - North,0,0,0,0,0,0,0,0,0,0,0,0
Ingle Farm,1244,46,39,46,129,60,230,16,18,0,90,1919
Para Hills,1373,49,44,65,80,58,192,17,17,0,79,1977
Parafield,0,0,0,0,0,9,0,0,0,0,0,16
Parafield Gardens,1161,30,40,53,467,56,412,25,47,0,110,2398
Paralowie,1595,37,39,51,354,29,160,28,41,4,124,2458
Salisbury,1209,36,49,54,341,50,343,16,64,3,147,2309
Salisbury East,1642,60,36,33,104,28,143,14,21,0,114,2194
Salisbury North,1757,40,55,28,349,22,159,29,46,0,156,2650
Mawson Lakes - Globe Derby Park,1179,78,79,74,271,275,340,30,48,0,115,2483
Pooraka - Cavan,570,13,25,38,146,54,160,5,15,0,68,1091
Golden Grove,967,66,18,14,32,30,31,20,16,0,42,1238
Greenwith,1010,54,8,11,20,12,16,10,13,0,47,1210
Highbury - Dernancourt,916,44,30,12,41,61,58,13,12,0,44,1233
Hope Valley - Modbury,1394,36,34,55,98,143,276,21,42,0,90,2188
Modbury Heights,1824,112,26,30,60,103,126,21,32,4,76,2410
Redwood Park,1741,101,25,9,35,34,25,19,21,4,85,2105
St Agnes - Ridgehaven,1238,56,18,16,51,49,53,21,9,0,54,1559
Brighton (SA),1101,146,29,25,36,50,23,34,22,0,64,1534
Glenelg (SA),1642,209,76,31,74,89,96,79,36,0,169,2506
Edwardstown,1262,66,39,58,132,200,227,27,28,0,116,2161
Hallett Cove,970,243,35,22,47,71,26,22,60,0,36,1537
Marino - Seaview Downs,885,85,17,15,41,44,29,18,17,0,44,1202
Mitchell Park,1227,59,34,86,124,219,283,33,37,3,100,2209
Morphettville,1405,89,32,43,96,129,134,40,37,5,105,2106
Sheidow Park - Trott Park,1189,119,35,19,31,28,50,16,21,0,41,1556
Warradale,1292,94,29,108,92,184,139,25,51,0,107,2122
Belair,325,28,8,0,14,8,5,8,6,0,20,425
Bellevue Heights,481,49,7,21,127,110,49,20,23,0,32,911
Blackwood,1091,120,20,3,30,31,20,21,29,0,30,1400
Colonel Light Gardens,1596,75,20,20,86,150,114,20,25,0,69,2179
Mitcham (SA),1279,72,16,15,70,128,82,31,23,0,59,1792
Panorama,639,35,9,19,96,67,96,9,23,0,59,1049
Aberfoyle Park,1100,93,26,18,36,28,30,14,28,0,27,1404
Aldinga,1700,188,11,4,24,11,11,20,12,0,185,2158
Christie Downs,966,53,10,9,29,17,15,12,9,0,97,1216
Christies Beach,912,99,15,3,33,12,5,13,15,0,126,1236
Clarendon,194,17,0,3,0,5,0,0,3,0,10,232
Coromandel Valley,418,62,5,0,8,9,6,4,7,0,18,542
Flagstaff Hill,886,104,25,12,42,64,29,24,31,0,49,1263
Hackham - Onkaparinga Hills,627,37,13,6,21,5,5,10,3,0,21,741
Hackham West - Huntfield Heights,871,37,7,4,43,9,8,4,0,0,66,1046
Happy Valley,1443,123,19,9,36,27,24,20,23,0,74,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,0,0,0,0,3
McLaren Vale,461,74,9,0,9,0,4,0,3,0,33,591
Morphett Vale - East,1439,81,21,15,55,27,38,6,19,0,82,1778
Morphett Vale - West,1029,59,7,15,37,17,27,7,17,0,89,1308
Reynella,1132,67,17,4,51,22,25,3,19,0,47,1385
Seaford (SA),2419,330,31,9,56,26,34,40,30,3,169,3138
Willunga,277,37,3,0,8,0,0,4,0,0,19,341
Woodcroft,1145,94,26,8,25,19,45,14,15,0,26,1417
Beverley,771,23,36,14,54,32,138,18,27,0,61,1176
Flinders Park,1312,44,86,29,83,68,197,21,30,7,83,1954
Henley Beach,1227,110,46,21,71,33,91,32,32,0,86,1750
Hindmarsh - Brompton,1767,97,68,44,219,151,144,52,40,0,149,2733
Royal Park - Hendon - Albert Park,619,18,45,11,49,11,43,10,13,0,49,854
Seaton - Grange,1433,89,77,29,55,42,122,35,51,3,115,2056
West Lakes,1103,91,55,12,49,43,27,25,18,0,79,1506
Woodville - Cheltenham,1254,34,93,56,416,96,258,30,95,4,111,2441
Dry Creek - South,0,0,0,0,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,1567,115,31,3,45,22,17,28,20,0,88,1930
North Haven,1417,93,25,6,58,14,13,14,8,5,87,1755
Port Adelaide,977,35,36,12,161,25,65,10,31,4,92,1449
The Parks,1004,17,103,56,772,148,374,15,113,0,159,2771
Torrens Island,0,0,0,0,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,214,12,3,4,13,7,22,5,5,0,17,294
Lockleys,1055,55,45,36,89,103,304,31,45,4,71,1829
Plympton,2017,84,71,51,245,347,645,71,65,5,172,3767
Richmond (SA),1720,80,59,68,187,201,218,55,31,4,153,2775
West Beach,424,61,25,9,18,14,31,21,7,0,30,640
Barossa - Angaston,586,33,5,0,3,4,0,9,7,0,29,679
Light,954,29,3,0,22,4,3,5,0,0,63,1087
Lyndoch,615,28,3,0,12,6,3,7,0,0,53,724
Mallala,287,7,0,0,12,0,0,0,0,0,25,340
Nuriootpa,663,22,3,0,6,5,0,3,4,0,38,745
Tanunda,391,25,0,0,17,10,4,3,5,0,28,475
Clare,407,21,0,0,9,3,0,4,0,0,34,481
Gilbert Valley,387,18,4,0,5,0,4,0,3,0,49,468
Goyder,333,8,0,0,8,0,0,0,0,0,32,374
Wakefield - Barunga West,813,6,0,0,34,8,6,3,9,0,53,936
Jamestown,397,8,0,0,4,0,0,0,0,0,26,445
Peterborough - Mount Remarkable,395,6,0,0,4,0,5,5,0,0,33,448
Port Pirie,1358,11,10,5,30,3,22,3,13,0,87,1547
Port Pirie Region,302,4,0,0,5,0,0,0,0,0,14,332
Kadina,497,5,0,0,9,0,8,3,3,0,47,578
Moonta,330,3,3,0,3,3,3,0,0,0,28,383
Wallaroo,315,0,0,0,0,0,3,0,0,0,17,345
Yorke Peninsula - North,496,6,0,0,3,0,8,0,0,0,25,547
Yorke Peninsula - South,243,3,0,0,3,0,3,0,0,0,25,285
Ceduna,277,6,0,0,11,5,5,0,0,0,49,352
Eyre Peninsula,578,10,0,0,10,0,0,0,8,0,55,669
Kimba - Cleve - Franklin Harbour,389,0,0,0,6,0,3,0,3,0,44,445
Le Hunte - Elliston,209,3,0,0,0,0,0,0,0,0,19,237
Port Lincoln,1660,21,0,0,44,8,16,13,4,0,147,1916
West Coast (SA),323,9,0,0,7,0,3,4,0,0,29,385
Western,5,0,0,0,0,0,0,0,0,0,3,10
Whyalla,2225,47,15,9,83,15,46,14,51,0,177,2684
Whyalla - North,0,0,0,0,0,0,0,0,0,0,0,0
APY Lands,347,0,0,0,0,0,0,0,0,0,23,379
Coober Pedy,112,7,7,0,17,0,25,0,0,0,31,204
Quorn - Lake Gilles,165,4,0,0,5,0,0,0,0,0,11,186
Outback,211,7,0,0,10,0,0,4,0,0,48,277
Port Augusta,1341,24,0,4,19,14,47,7,10,0,139,1603
Roxby Downs,503,23,5,5,29,0,15,6,18,4,52,648
Goolwa - Port Elliot,716,22,3,0,15,3,3,3,5,0,55,833
Kangaroo Island,378,13,3,0,12,0,0,4,4,0,50,475
Strathalbyn,664,38,4,0,10,0,0,3,3,0,63,792
Strathalbyn Region,621,46,5,0,18,7,0,3,6,0,68,771
Victor Harbor,942,58,7,0,25,15,7,14,8,0,56,1129
Yankalilla,401,25,3,0,11,0,3,3,7,0,26,483
Grant,487,9,0,0,12,6,0,0,6,0,45,565
Kingston - Robe,310,9,3,0,10,0,0,0,0,0,24,358
Millicent,433,7,0,0,13,0,6,0,7,0,45,507
Naracoorte,554,7,0,0,63,37,29,3,7,0,46,748
Naracoorte Region,200,9,0,0,5,0,0,0,0,0,12,226
Penola,302,9,0,0,0,3,0,0,0,0,28,349
Tatiara,573,21,0,0,39,19,10,0,13,0,59,737
Wattle Range,271,5,0,0,11,0,0,4,0,0,30,323
Mount Gambier - East,1548,30,3,3,45,9,13,6,33,0,107,1798
Mount Gambier - West,1411,17,0,7,61,6,21,7,25,0,92,1648
Barmera,530,16,4,0,17,9,14,5,0,0,43,632
Berri,398,15,4,0,10,6,18,0,3,0,44,498
Karoonda - Lameroo,234,4,0,0,11,11,0,0,3,0,26,299
Loxton,493,10,0,0,4,10,9,0,10,0,28,568
Loxton Region,142,4,0,0,4,0,0,0,0,0,13,162
Mannum,433,12,0,0,15,8,0,0,0,0,45,518
Murray Bridge,1455,18,6,19,141,145,61,10,20,0,141,2023
Murray Bridge Region,324,12,0,0,3,0,0,3,0,0,31,372
Renmark,390,6,0,0,21,25,50,0,0,0,48,534
Renmark Region,430,6,0,0,11,25,15,0,3,0,50,553
The Coorong,451,17,0,4,13,7,4,0,0,0,56,549
Waikerie,492,12,0,0,17,5,25,0,0,0,44,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (SA),220,29,0,3,8,27,11,10,5,0,39,353
Augusta,453,61,9,4,13,10,0,12,14,0,69,635
Busselton,2409,213,16,6,104,38,39,33,65,0,185,3110
Busselton Region,1027,157,12,0,24,30,7,28,33,0,131,1455
Margaret River,956,182,24,6,47,61,12,51,26,0,124,1483
Australind - Leschenault,1897,139,16,9,59,34,17,13,95,0,159,2449
Capel,507,40,3,0,3,11,0,3,20,0,40,633
College Grove - Carey Park,626,21,6,0,57,24,26,5,27,0,69,854
Collie,836,17,0,5,27,7,0,3,10,0,108,1015
Dardanup,260,12,0,0,10,0,0,6,14,0,27,324
Davenport,0,0,0,0,0,0,0,0,0,0,0,0
Eaton - Pelican Point,1252,87,5,10,43,23,32,18,46,0,92,1604
Harvey,743,37,0,0,72,36,0,7,15,0,85,1005
East Bunbury - Glen Iris,678,46,3,0,58,38,25,10,11,0,51,918
Waroona,333,27,7,0,13,0,3,0,0,0,48,436
Dalyellup,928,115,13,5,56,15,28,13,142,0,89,1410
Gelorup - Stratham,230,18,3,0,3,0,4,4,7,0,8,286
South Bunbury - Bunbury,993,101,16,13,67,52,61,28,54,4,111,1502
Withers - Usher,519,48,0,4,32,8,12,4,16,0,75,713
Bridgetown - Boyup Brook,505,39,0,0,10,0,0,7,11,0,37,612
Donnybrook - Balingup,445,53,0,0,13,20,5,0,7,0,68,617
Manjimup,500,16,7,0,9,7,8,3,6,0,64,616
Pemberton,308,34,7,0,7,16,3,7,10,0,52,441
Dawesville - Bouvard,601,114,7,0,29,4,9,4,33,0,50,855
Falcon - Wannanup,697,97,10,0,38,8,3,8,32,0,65,961
Greenfields,855,48,3,5,44,11,27,10,19,0,71,1095
Halls Head - Erskine,1336,286,23,17,83,27,21,15,88,0,114,2005
Mandurah,604,66,11,12,72,26,89,14,25,0,80,1001
Mandurah - East,439,46,3,0,13,0,0,3,9,0,36,554
Mandurah - North,1714,347,25,10,108,30,50,34,120,0,125,2583
Mandurah - South,674,64,3,8,78,17,23,6,32,0,77,978
Pinjarra,906,72,0,0,35,0,8,6,7,0,106,1137
City Beach,301,64,17,5,26,20,9,20,20,0,29,498
Claremont (WA),520,98,36,12,40,52,28,40,36,0,81,943
Cottesloe,564,152,11,3,28,14,6,36,35,0,63,913
Floreat,574,86,17,7,38,36,20,23,35,0,29,867
Mosman Park - Peppermint Grove,722,170,46,14,54,51,70,61,44,0,126,1357
Nedlands - Dalkeith - Crawley,914,148,39,45,291,231,93,65,63,0,93,1991
Swanbourne - Mount Claremont,561,81,16,8,33,29,21,35,38,0,44,866
Kings Park (WA),0,0,0,0,0,0,0,0,0,0,0,5
Mount Hawthorn - Leederville,1259,268,50,14,103,70,19,64,52,0,110,2016
Mount Lawley - Inglewood,1587,301,88,27,163,106,90,104,53,0,255,2772
North Perth,944,181,36,12,88,69,20,43,37,0,102,1538
Perth City,2303,789,325,168,779,1061,395,505,202,14,1193,7740
Subiaco - Shenton Park,1296,347,91,43,176,154,102,115,83,0,207,2603
Wembley - West Leederville - Glendalough,1443,316,82,43,195,167,589,133,129,0,271,3373
Bassendean - Eden Hill - Ashfield,1509,191,47,21,153,83,81,28,58,0,129,2299
Bayswater - Embleton - Bedford,2179,364,102,48,321,199,170,73,113,4,205,3783
Maylands,1274,297,77,33,194,172,321,89,117,4,216,2789
Morley,1491,204,143,64,478,324,252,50,111,0,183,3298
Noranda,503,36,35,26,136,44,42,6,35,4,41,901
Chidlow,240,32,5,0,4,4,3,5,0,0,35,330
Glen Forrest - Darlington,520,97,5,0,13,11,4,10,29,0,30,724
Helena Valley - Koongamia,545,45,11,3,20,4,17,17,14,0,29,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0,0,0,0,0
Mundaring,1070,138,15,0,23,7,3,14,42,4,85,1403
Swan View - Greenmount - Midvale,1098,65,14,6,81,40,35,12,33,0,85,1463
Avon Valley National Park,0,0,0,0,0,0,0,0,0,0,0,0
Ballajura,1295,127,84,98,411,73,90,29,87,0,103,2391
Beechboro,1510,119,82,97,463,98,375,22,143,0,180,3092
Bullsbrook,498,62,3,3,16,5,5,6,16,0,87,699
Ellenbrook,3867,497,119,147,415,90,504,87,441,5,389,6554
Gidgegannup,220,22,5,0,11,4,4,4,8,0,27,302
Hazelmere - Guildford,440,60,9,7,25,23,25,7,16,0,41,647
Lockridge - Kiara,957,84,48,20,225,50,172,18,76,3,118,1772
Malaga,0,0,0,0,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,444,37,12,4,43,9,36,7,10,0,59,665
Midland - Guildford,895,78,29,17,139,32,121,12,48,0,174,1545
Stratton - Jane Brook,766,51,20,3,44,9,19,6,26,0,58,1011
The Vines,911,148,22,17,70,19,58,19,106,4,78,1449
Walyunga National Park,0,0,0,0,0,0,0,0,0,0,0,0
Craigie - Beldon,1069,249,37,7,49,26,10,33,75,0,84,1652
Currambine - Kinross,828,494,37,19,86,47,30,26,173,0,66,1805
Duncraig,1104,292,46,14,48,37,29,45,103,3,40,1760
Greenwood - Warwick,1212,220,33,19,67,56,29,38,76,0,69,1819
Heathridge - Connolly,865,306,30,15,44,30,11,32,68,3,69,1473
Hillarys,697,204,36,8,37,16,12,31,75,0,43,1157
Iluka - Burns Beach,451,277,21,11,33,12,9,19,144,0,18,1000
Joondalup - Edgewater,870,338,43,48,121,113,78,31,154,0,78,1894
Kingsley,948,233,14,13,52,38,18,25,95,0,69,1509
Mullaloo - Kallaroo,788,267,29,4,30,24,6,21,79,0,73,1324
Ocean Reef,411,201,11,9,29,4,5,19,60,0,28,781
Padbury,779,207,26,0,40,19,11,27,62,0,48,1224
Sorrento - Marmion,625,128,15,9,25,16,3,20,47,0,37,927
Woodvale,529,211,14,16,32,19,12,11,63,0,23,928
Balcatta - Hamersley,1343,192,99,42,168,99,144,47,86,0,154,2378
Balga - Mirrabooka,1035,74,149,246,624,108,329,47,331,0,283,3243
Dianella,1530,203,121,98,386,245,203,44,193,0,155,3176
Herdsman,0,0,0,0,0,0,0,0,0,0,0,0
Innaloo - Doubleview,1921,385,77,51,134,157,82,98,128,4,262,3288
Karrinyup - Gwelup - Carine,1649,308,49,19,108,70,38,79,101,4,112,2549
Nollamara - Westminster,1372,240,145,155,450,275,427,103,284,8,296,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough,1840,509,106,16,85,80,28,264,113,0,272,3310
Stirling - Osborne Park,1072,185,81,38,197,151,246,47,105,3,125,2248
Trigg - North Beach - Watermans Bay,677,109,22,5,21,9,5,31,32,0,46,948
Tuart Hill - Joondanna,1234,253,73,69,184,113,272,80,130,0,172,2584
Wembley Downs - Churchlands - Woodlands,928,163,44,21,126,119,87,57,96,0,59,1707
Yokine - Coolbinia - Menora,1268,239,97,58,179,134,130,42,142,8,170,2462
Alexander Heights - Koondoola,733,77,77,80,326,33,77,14,65,0,92,1567
Butler - Merriwa - Ridgewood,1960,721,47,82,167,57,88,50,260,4,362,3799
Carramar,1502,600,45,54,197,53,162,31,239,0,151,3019
Clarkson,1109,378,65,37,155,91,111,45,171,4,152,2318
Girrawheen,610,33,46,50,295,24,51,11,52,5,76,1251
Madeley - Darch - Landsdale,2168,306,215,110,433,128,307,72,358,0,149,4251
Marangaroo,742,63,75,45,307,49,45,16,51,0,74,1457
Mindarie - Quinns Rocks - Jindalee,1119,658,48,18,66,29,17,37,225,0,118,2336
Neerabup National Park,0,0,0,0,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,1049,460,19,26,80,44,108,25,193,0,91,2098
Wanneroo,2306,560,69,44,247,113,143,50,252,0,159,3945
Alkimos - Eglinton,780,421,22,15,55,23,29,32,148,0,154,1677
Carabooda - Pinjar,46,10,0,0,15,0,0,4,0,0,10,86
Two Rocks,254,55,3,0,14,10,0,0,12,0,50,402
Yanchep,732,314,20,0,26,24,13,13,94,0,132,1369
Armadale - Wungong - Brookdale,1724,131,19,29,198,46,208,23,134,0,236,2745
Ashendon - Lesley,5,0,0,0,0,0,0,0,0,0,0,0
Camillo - Champion Lakes,473,42,3,8,74,12,60,6,17,0,42,738
Forrestdale - Harrisdale - Piara Waters,1823,264,35,46,563,229,727,60,329,3,119,4193
Kelmscott,867,116,17,15,73,22,104,10,55,0,115,1401
Mount Nasura - Mount Richon - Bedfordale,640,100,3,0,32,9,11,19,19,0,46,881
Roleystone,610,98,10,0,22,10,6,6,34,0,49,841
Seville Grove,1088,102,10,20,154,20,192,10,87,0,104,1778
Belmont - Ascot - Redcliffe,1125,177,29,42,281,177,163,38,89,0,215,2337
East Victoria Park - Carlisle,1508,324,70,66,309,270,212,83,133,0,277,3252
Kewdale Commercial,0,0,0,0,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,3,0,0,0,0,0,8
Rivervale - Kewdale - Cloverdale,1800,265,66,154,578,460,439,68,198,0,482,4502
Victoria Park - Lathlain - Burswood,1150,223,68,72,312,298,300,101,73,4,251,2846
Bentley - Wilson - St James,1067,124,43,86,568,387,336,66,175,0,255,3097
Canning Vale - West,544,64,21,14,222,185,104,21,55,0,34,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0,0,0,0,0
Cannington - Queens Park,826,85,32,152,688,466,800,31,220,0,233,3532
Parkwood - Ferndale - Lynwood,973,125,28,48,298,206,133,17,81,0,77,1990
Riverton - Shelley - Rossmoyne,556,85,21,44,256,227,234,23,49,0,43,1527
Welshpool,0,0,0,0,0,0,0,0,0,0,0,0
Willetton,795,105,24,42,349,407,355,36,72,6,57,2240
Beckenham - Kenwick - Langford,1174,81,30,98,592,309,431,27,131,5,160,3038
Canning Vale - East,1158,170,35,98,644,495,596,45,204,9,110,3572
Gosnells,1621,103,26,45,338,89,347,19,110,4,265,2964
Huntingdale - Southern River,1581,166,34,64,435,197,404,24,196,0,128,3216
Maddington - Orange Grove - Martin,881,52,12,46,314,57,336,7,65,0,115,1889
Thornlie,1590,165,23,82,507,278,296,27,121,7,154,3246
Forrestfield - Wattle Grove,1777,134,29,23,256,112,348,19,105,0,149,2956
High Wycombe,1320,97,19,3,119,26,40,11,58,0,140,1838
Kalamunda - Maida Vale - Gooseberry Hill,1089,189,21,9,47,27,15,17,51,4,79,1544
Lesmurdie - Bickley - Carmel,837,120,17,4,36,19,11,4,26,0,41,1118
Byford,1955,255,14,20,98,28,204,12,164,3,151,2906
Mundijong,565,62,11,0,26,8,3,5,13,0,44,735
Serpentine - Jarrahdale,338,42,0,0,11,8,4,3,5,0,44,451
Como,1215,201,67,65,234,153,124,90,101,4,159,2409
Manning - Waterford,620,84,19,41,217,105,72,21,66,0,65,1316
South Perth - Kensington,1183,246,79,84,238,143,148,81,80,0,211,2485
Banjup,1735,305,63,49,253,220,192,47,154,0,121,3148
Bibra Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0,0,0,0,0
Coogee,751,138,54,11,62,18,16,25,39,3,44,1154
Coolbellup,765,77,35,18,85,47,29,23,35,0,95,1208
Hamilton Hill,875,186,64,15,102,41,35,45,65,0,144,1569
Henderson,0,0,0,0,0,0,0,0,0,0,0,0
North Coogee,204,66,14,3,13,9,7,11,15,0,47,390
South Lake - Cockburn Central,954,115,52,20,189,100,69,38,65,5,97,1710
Spearwood,818,96,75,12,165,17,32,28,40,5,97,1387
Success - Hammond Park,1468,265,87,42,302,226,200,76,161,4,190,3025
Yangebup,760,97,63,5,69,36,14,25,35,3,81,1189
Beeliar - Wattleup,891,129,61,15,103,45,30,27,59,0,84,1443
Jandakot,183,19,0,5,26,10,8,3,15,0,12,271
East Fremantle,607,120,17,3,19,14,8,15,18,0,50,874
Fremantle,1312,399,77,10,81,46,23,87,57,0,293,2386
Fremantle - South,1298,281,68,14,63,39,21,85,37,0,142,2055
O'Connor (WA),0,0,0,0,0,0,0,0,0,0,0,0
Bertram - Wellard (West),1474,169,50,27,370,113,354,39,180,6,169,2946
Calista,721,56,13,11,81,19,30,13,27,0,98,1072
Hope Valley - Postans,4,0,0,0,0,0,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,0,0,0,0,0,0,4
Parmelia - Orelia,1056,76,32,10,118,33,50,17,44,4,151,1586
Casuarina - Wandi,547,79,9,3,74,18,80,18,48,0,51,937
Applecross - Ardross,640,103,42,36,191,121,55,24,56,6,71,1346
Bateman,199,35,3,6,68,44,42,7,11,0,20,434
Bicton - Palmyra,1334,228,38,20,75,36,27,65,53,0,106,1993
Booragoon,871,153,39,62,232,166,64,35,66,5,100,1791
Bull Creek,359,51,4,6,140,142,64,17,32,0,23,859
Leeming,697,93,15,15,148,104,54,27,49,0,35,1239
Melville,1371,182,39,25,113,59,26,45,44,0,84,1988
Murdoch - Kardinya,651,76,38,42,245,129,80,33,51,0,55,1404
Willagee,503,60,14,3,43,21,12,17,17,0,55,751
Winthrop,247,30,6,4,168,64,23,11,22,0,26,605
Baldivis,3803,761,57,29,199,70,141,85,314,3,447,5904
Cooloongup,720,68,8,5,71,11,16,14,24,0,89,1035
Port Kennedy,1395,238,25,3,57,12,14,22,70,5,132,1968
Rockingham,1066,170,31,3,138,28,32,27,42,4,166,1711
Rockingham Lakes,0,0,0,0,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,892,174,25,6,41,12,5,24,29,0,78,1294
Singleton - Golden Bay - Secret Harbour,1994,609,33,3,69,24,9,39,121,0,159,3054
Waikiki,1104,199,28,6,92,13,29,19,49,0,108,1651
Warnbro,1006,187,9,8,55,8,14,20,21,0,126,1450
Albany,1131,102,10,7,106,27,34,23,33,0,86,1561
Albany Region,247,31,0,0,12,0,0,4,3,0,31,333
Bayonet Head - Lower King,453,35,0,0,5,3,5,7,26,0,31,558
Denmark,410,46,3,4,15,8,0,13,6,0,64,571
Gnowangerup,274,26,0,0,13,0,0,3,9,0,44,369
Katanning,365,19,3,4,64,12,16,4,10,0,81,578
Kojonup,380,20,5,6,16,0,0,0,3,0,59,491
Little Grove - Elleker,247,22,3,3,10,0,0,0,4,0,10,304
McKail - Willyung,1043,58,7,0,80,8,13,12,15,0,79,1319
Plantagenet,386,32,5,0,8,3,12,6,11,0,41,496
Stirling Range National Park,0,0,0,0,0,0,0,0,0,0,0,0
Chittering,431,73,3,0,10,0,0,6,12,0,70,613
Cunderdin,324,18,3,5,29,0,7,0,12,0,43,434
Dowerin,365,22,0,0,11,0,6,3,8,0,42,456
Gingin - Dandaragan,591,68,6,0,53,61,4,4,15,0,96,907
Merredin,460,37,0,0,11,0,3,0,9,0,55,580
Moora,407,39,5,0,32,4,4,4,14,0,64,577
Mukinbudin,271,29,0,0,8,0,0,3,6,0,48,364
Northam,942,56,4,6,53,4,19,4,19,0,139,1240
Toodyay,282,32,5,0,6,3,0,9,13,0,30,371
York - Beverley,356,23,5,0,15,0,0,5,5,0,63,483
Brookton,298,14,5,0,9,0,4,9,3,0,38,377
Kulin,411,40,3,0,6,4,0,3,6,0,53,531
Murray,237,16,0,0,12,0,8,6,9,0,20,311
Narrogin,380,21,3,0,25,9,12,0,16,0,54,522
Wagin,420,29,3,0,3,0,0,3,6,0,65,529
Broome,1700,193,22,0,121,72,22,29,42,0,358,2555
Derby - West Kimberley,1001,27,3,0,18,11,22,10,7,0,121,1235
Halls Creek,452,4,0,0,3,5,13,0,5,0,71,553
Kununurra,864,81,13,0,41,30,7,6,15,0,167,1219
Roebuck,281,11,0,0,3,4,0,4,0,0,15,321
East Pilbara,550,23,0,0,9,7,4,9,9,0,136,746
Newman,538,37,3,0,57,3,9,8,26,0,108,798
Port Hedland,552,50,11,0,45,14,16,15,22,6,115,841
South Hedland,1078,61,9,0,143,25,46,6,54,0,315,1739
Ashburton (WA),1079,97,9,5,73,17,19,23,20,0,222,1563
Karratha,1969,169,37,3,191,54,95,49,83,3,356,3005
Roebourne,575,53,0,0,44,7,4,3,20,0,70,782
Esperance,1100,69,3,6,35,18,11,15,37,0,155,1449
Esperance Region,343,26,0,0,13,0,0,5,15,0,78,485
Carnarvon,400,34,18,0,62,28,12,7,7,0,122,680
Exmouth,460,84,10,0,18,3,3,9,5,0,91,684
Boulder,781,34,9,0,51,0,6,0,31,0,131,1043
Kalgoorlie,1472,85,10,17,139,37,94,15,125,0,229,2225
Kalgoorlie - North,1102,75,12,3,49,22,34,11,74,0,119,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,441,14,3,0,29,4,3,6,13,0,92,614
Leinster - Leonora,510,16,5,0,21,0,0,9,3,0,100,664
Trafalgar (WA),0,0,0,0,0,0,0,0,0,0,0,0
Geraldton,921,52,4,0,90,19,32,16,27,0,125,1302
Geraldton - East,829,28,4,0,29,7,0,0,18,0,100,1013
Geraldton - North,851,53,5,0,25,0,4,6,29,0,77,1053
Geraldton - South,1047,74,7,9,62,14,47,12,65,0,88,1429
Irwin,294,20,0,0,5,0,0,0,0,0,31,360
Meekatharra,243,12,0,0,14,10,4,0,3,0,83,379
Morawa,330,35,4,0,7,0,0,5,11,0,49,429
Northampton - Mullewa - Greenough,478,25,0,0,7,0,0,4,9,0,68,596
Migratory - Offshore - Shipping (WA),3,0,3,0,0,0,0,0,0,0,3,14
No Usual Address (WA),481,90,16,0,25,36,6,22,18,0,133,838
Bridgewater - Gagebrook,850,6,0,0,7,0,0,0,3,0,118,987
Brighton - Pontville,722,5,0,0,5,5,0,0,0,0,45,785
Old Beach - Otago,534,3,0,0,15,4,0,5,0,0,28,584
Bellerive - Rosny,540,18,0,0,17,23,20,11,9,0,29,664
Cambridge,776,22,6,0,11,3,0,13,5,0,24,849
Geilston Bay - Risdon,389,6,5,0,5,5,3,0,0,0,7,428
Howrah - Tranmere,1101,31,10,5,14,24,9,10,16,0,46,1263
Lindisfarne - Rose Bay,692,16,0,3,16,16,12,9,6,0,30,808
Mornington - Warrane,586,6,0,0,7,13,16,4,12,0,31,679
Risdon Vale,330,4,4,0,7,4,0,0,0,0,36,377
Rokeby,854,9,0,4,13,7,8,3,9,0,58,957
South Arm,427,10,0,0,3,7,0,5,4,0,18,482
Austins Ferry - Granton,470,4,0,0,9,3,13,3,3,0,25,524
Berriedale - Chigwell,593,13,0,5,7,5,3,7,7,0,50,694
Claremont (Tas.),886,4,4,5,14,4,12,3,7,0,51,991
Derwent Park - Lutana,464,10,0,5,12,9,29,3,11,0,41,580
Glenorchy,1065,15,5,10,53,21,84,14,23,0,103,1404
Montrose - Rosetta,483,7,8,4,13,4,19,5,4,0,39,586
