SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Wagin,58,73,4,100,61,42,3,192,529
Broome,81,463,1138,5,0,8,32,823,2555
Derby - West Kimberley,82,163,93,9,5,115,58,711,1235
Halls Creek,45,22,4,0,0,45,42,386,553
Kununurra,45,277,251,44,0,84,45,481,1219
Roebuck,67,0,0,26,0,25,21,179,321
East Pilbara,151,3,8,20,3,131,75,355,746
Newman,28,240,145,4,0,75,20,279,798
Port Hedland,29,36,140,345,5,7,14,270,841
South Hedland,42,388,381,154,0,5,19,755,1739
Ashburton (WA),296,121,26,4,0,261,305,560,1563
Karratha,118,314,831,448,28,46,85,1131,3005
Roebourne,44,88,67,93,21,118,21,321,782
Esperance,61,240,520,80,10,13,14,503,1449
Esperance Region,77,30,9,21,41,99,8,204,485
Carnarvon,36,155,150,47,0,3,12,274,680
Exmouth,55,268,48,11,4,29,39,233,684
Boulder,20,74,450,0,0,25,13,455,1043
Kalgoorlie,54,450,837,0,3,45,27,807,2225
Kalgoorlie - North,41,308,586,20,0,31,20,502,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,23,68,15,0,62,121,31,300,614
Leinster - Leonora,93,57,0,0,0,50,39,417,664
Trafalgar (WA),0,0,0,0,0,0,0,0,0
Geraldton,28,313,403,13,5,8,23,512,1302
Geraldton - East,35,43,435,29,9,8,14,442,1013
Geraldton - North,43,22,297,299,5,5,19,357,1053
Geraldton - South,56,54,799,65,0,8,11,435,1429
Irwin,32,73,54,17,0,40,3,136,360
Meekatharra,39,53,8,0,0,57,26,196,379
Morawa,41,90,7,40,17,60,6,164,429
Northampton - Mullewa - Greenough,50,59,26,69,52,85,11,241,596
Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,14,14
No Usual Address (WA),0,0,0,0,0,0,0,838,838
Bridgewater - Gagebrook,7,29,55,274,27,3,3,591,987
Brighton - Pontville,31,21,60,432,41,4,0,190,785
Old Beach - Otago,21,5,49,396,11,5,6,103,584
Bellerive - Rosny,26,63,351,60,0,0,4,153,664
Cambridge,30,15,57,577,14,4,6,145,849
Geilston Bay - Risdon,11,11,244,98,0,0,0,63,428
Howrah - Tranmere,39,33,381,559,10,5,10,223,1263
Lindisfarne - Rose Bay,26,44,444,104,0,4,0,183,808
Mornington - Warrane,7,52,279,79,3,0,0,257,679
Risdon Vale,5,5,75,119,0,0,0,170,377
Rokeby,14,23,132,397,11,0,0,388,957
South Arm,17,4,12,232,96,3,0,118,482
Austins Ferry - Granton,17,15,89,257,11,0,0,144,524
Berriedale - Chigwell,15,20,138,253,5,0,0,258,694
Claremont (Tas.),16,36,226,381,6,3,8,310,991
Derwent Park - Lutana,8,52,256,41,0,3,0,209,580
Glenorchy,27,101,562,139,6,7,10,553,1404
Montrose - Rosetta,16,37,198,165,0,0,0,171,586
Moonah,21,84,316,40,6,0,0,278,755
New Norfolk,9,81,60,173,103,9,3,320,774
West Moonah,12,35,288,49,5,0,5,190,578
Kingston - Huntingfield,71,120,127,808,11,5,7,421,1566
Kingston Beach - Blackmans Bay,48,62,151,619,25,4,8,301,1214
Margate - Snug,49,37,96,519,42,3,0,266,1010
Mount Wellington,0,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,24,9,136,98,7,0,3,72,351
Hobart,32,588,190,41,14,3,19,369,1253
Lenah Valley - Mount Stuart,36,108,709,76,0,4,8,239,1180
Mount Nelson - Dynnyrne,25,45,275,60,7,0,3,183,593
New Town,25,118,378,50,4,6,13,246,837
Sandy Bay,49,253,511,110,11,3,13,560,1515
South Hobart - Fern Tree,37,106,371,119,0,4,6,204,850
West Hobart,38,371,228,46,6,5,12,219,915
Dodges Ferry - Lewisham,35,24,49,128,319,38,3,282,884
Sorell - Richmond,35,50,86,486,59,16,5,272,1015
Invermay,5,89,117,16,3,5,0,163,394
Kings Meadows - Punchbowl,13,53,268,27,10,8,0,195,568
Launceston,22,279,92,19,9,22,11,189,637
Legana,25,10,42,253,11,5,0,98,446
Mowbray,14,34,150,31,0,7,0,238,479
Newnham - Mayfield,12,69,358,100,19,18,9,558,1148
Newstead,21,149,233,28,3,8,5,175,619
Norwood (Tas.),16,26,246,24,5,8,0,96,417
Prospect Vale - Blackstone,30,39,319,130,4,17,3,206,748
Ravenswood,0,13,144,17,0,3,0,269,447
Riverside,27,31,355,106,17,9,3,207,756
South Launceston,19,177,223,25,9,12,3,197,662
Summerhill - Prospect,20,38,325,39,0,13,3,167,617
Trevallyn,16,29,332,27,11,12,3,144,574
Waverley - St Leonards,6,13,202,49,7,4,0,181,463
West Launceston,18,102,260,13,8,10,0,150,568
Youngtown - Relbia,15,32,302,39,3,8,3,147,557
Beauty Point - Beaconsfield,11,28,29,15,54,19,3,143,301
Deloraine,36,80,34,78,51,57,12,246,586
Grindelwald - Lanena,22,4,26,189,110,12,3,175,545
Hadspen - Carrick,24,7,31,231,3,6,6,102,406
Westbury,30,11,13,85,89,16,0,146,399
Dilston - Lilydale,22,0,7,184,71,6,0,131,420
George Town,15,77,84,51,69,47,3,358,706
Longford,9,32,21,154,12,9,0,164,398
Northern Midlands,26,36,12,53,56,42,0,174,406
Perth - Evandale,19,24,29,306,3,5,0,167,563
St Helens - Scamander,25,61,47,90,30,31,5,208,499
Flinders and Cape Barren Islands,10,18,7,24,3,0,0,29,83
Scottsdale - Bridport,48,96,54,90,31,48,5,290,656
Central Highlands,16,8,5,13,20,47,0,84,200
Derwent Valley,10,6,27,59,69,21,0,125,322
Southern Midlands,25,21,11,89,200,50,0,236,634
Wilderness - East,0,0,0,0,0,0,0,0,5
Bruny Island - Kettering,26,8,13,52,60,11,3,82,255
Cygnet,28,19,33,48,55,42,4,189,411
Geeveston - Dover,19,17,38,65,15,31,0,151,345
Huonville - Franklin,35,54,108,147,271,31,6,324,977
Forestier - Tasman,9,15,17,49,5,8,0,83,185
Triabunna - Bicheno,32,60,44,27,30,48,3,120,374
Acton - Upper Burnie,3,51,134,29,7,7,0,166,402
Burnie - Ulverstone Region,37,5,46,175,63,13,0,171,516
Burnie - Wivenhoe,11,127,76,29,11,4,5,195,455
Parklands - Camdale,17,129,242,38,17,10,6,269,726
Penguin - Sulphur Creek,20,25,35,232,52,4,0,179,557
Romaine - Havenview,7,24,187,41,9,9,0,146,422
Somerset,17,35,130,65,10,13,5,146,421
Ulverstone,28,120,76,192,45,16,6,231,714
West Ulverstone,5,45,63,99,5,0,0,174,405
Wynyard,20,84,63,185,6,17,7,242,623
Devonport,30,372,327,171,49,24,13,608,1584
East Devonport,9,32,168,32,9,6,6,256,509
Latrobe,13,81,96,134,17,26,4,178,538
Miandetta - Don,16,53,184,42,17,10,5,143,464
Port Sorell,18,38,43,195,37,24,6,161,522
Quoiba - Spreyton,8,18,158,47,5,12,3,84,338
Sheffield - Railton,23,28,58,194,57,31,8,237,629
Turners Beach - Forth,21,11,61,118,33,8,0,70,333
King Island,25,35,18,44,9,0,0,47,181
North West,37,19,57,124,36,32,0,142,442
Smithton,17,174,75,22,0,4,0,127,420
Waratah,30,0,16,104,22,23,8,158,360
West Coast (Tas.),9,143,15,13,37,42,9,234,497
Wilderness - West,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,3,3
No Usual Address (Tas.),0,0,0,0,0,0,0,120,120
Darwin Airport,0,0,0,0,0,0,0,0,3
Darwin City,8,519,118,231,54,0,36,501,1472
East Point,0,0,0,0,0,0,0,0,5
Fannie Bay - The Gardens,15,83,207,108,8,4,4,147,577
Larrakeyah,18,200,110,144,19,0,11,219,713
Ludmilla - The Narrows,12,20,184,26,0,0,11,158,420
Parap,21,52,193,76,22,0,6,193,562
Stuart Park,12,161,265,187,22,3,15,243,904
Woolner - Bayview - Winnellie,14,49,232,77,12,0,5,122,513
Alawa,8,49,82,76,3,0,3,127,352
Anula,13,28,120,90,3,0,5,94,350
Berrimah,0,11,45,25,0,0,0,79,161
Brinkin - Nakara,9,129,139,122,3,3,11,166,584
Buffalo Creek,0,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0,0
Coconut Grove,4,47,305,43,0,0,10,186,595
East Arm,0,0,0,0,0,0,0,0,4
Jingili,10,15,81,72,0,0,0,69,261
Karama,17,34,244,203,8,0,8,285,790
Leanyer,25,60,212,232,10,4,3,168,708
Lyons (NT),40,112,208,338,10,3,10,249,973
Malak - Marrara,18,32,224,154,6,0,6,236,671
Millner,5,41,222,40,6,0,4,123,456
Moil,9,26,90,73,5,0,0,87,297
Nightcliff,10,50,307,136,10,3,9,218,755
Rapid Creek,12,39,255,132,6,4,4,205,648
Tiwi,18,129,54,92,0,0,3,110,410
Wagaman,19,49,84,73,0,3,3,115,345
Wanguri,6,60,60,67,0,0,3,78,271
Wulagi,11,25,122,111,7,0,5,113,389
Howard Springs,46,9,26,169,42,5,4,187,493
Humpty Doo,62,8,81,324,425,5,11,345,1268
Koolpinyah,0,0,0,3,0,0,0,0,3
Virginia,16,5,52,174,55,0,5,119,420
Weddell,37,5,18,62,132,100,8,227,590
Bakewell,14,27,122,266,0,0,3,155,586
Driver,12,36,68,196,0,0,10,166,480
Durack - Marlow Lagoon,26,36,117,352,0,0,8,238,783
Gray,11,51,49,210,8,0,6,214,542
Moulden,8,13,53,181,3,0,10,191,456
Palmerston - North,20,72,97,367,0,0,6,219,784
Palmerston - South,12,5,141,320,0,0,5,177,667
Rosebery - Bellamack,33,58,208,590,0,0,9,417,1314
Woodroffe,22,39,86,226,0,0,3,180,545
Charles,17,92,262,37,0,9,12,269,693
East Side,22,175,393,35,0,13,9,276,924
Flynn (NT),21,199,229,25,4,10,3,247,737
Larapinta,10,65,451,29,0,5,4,215,788
Mount Johns,35,230,214,34,3,10,8,225,749
Petermann - Simpson,48,60,97,0,0,20,42,181,456
Ross,10,11,63,76,0,4,9,113,288
Sandover - Plenty,87,0,0,12,9,30,4,379,528
Tanami,99,0,0,5,0,24,19,323,467
Yuendumu - Anmatjere,78,0,0,4,0,5,4,269,364
Barkly,72,11,0,4,0,8,35,251,380
Tennant Creek,15,189,20,0,0,0,12,219,446
Alligator,26,116,7,62,19,82,29,232,575
Daly,53,4,0,0,6,5,3,158,244
Thamarrurr,4,92,0,5,0,0,0,342,450
Tiwi Islands,102,0,0,0,0,17,10,266,398
West Arnhem,145,0,0,3,0,27,10,620,801
Anindilyakwa,67,67,0,22,0,19,5,260,444
East Arnhem,170,5,4,10,10,49,56,906,1213
Nhulunbuy,21,192,116,9,0,23,19,147,524
Elsey,67,7,9,0,7,15,9,205,324
Gulf,114,31,0,0,0,16,22,404,589
Katherine,89,240,368,169,17,4,30,623,1542
Victoria River,82,0,3,0,0,14,16,224,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,4,4
No Usual Address (NT),0,0,0,0,0,0,0,420,420
Aranda,7,7,115,84,0,0,6,56,279
Belconnen,21,268,388,377,0,0,10,439,1497
Bruce,26,103,426,381,0,5,10,312,1261
Charnwood,14,10,73,232,5,0,3,161,496
Cook,6,14,174,131,3,0,4,81,419
Dunlop,35,13,220,683,34,0,4,255,1235
Evatt,22,6,182,382,0,0,3,177,781
Florey,13,24,151,293,3,0,3,178,669
Flynn (ACT),7,7,105,233,6,0,3,94,459
Fraser,5,4,47,142,5,0,0,50,254
Giralang,16,7,142,228,0,0,5,110,512
Gooromon,0,0,0,0,0,0,0,0,0
Hawker,11,9,78,169,0,0,0,88,354
Higgins,16,20,81,239,0,0,0,100,455
Holt,19,18,119,395,5,0,4,177,735
Kaleen,28,20,419,275,0,0,5,210,956
Latham,15,9,128,293,5,4,3,136,585
Lawson,0,0,6,11,0,0,0,8,24
Macgregor (ACT),33,18,251,742,43,0,0,270,1358
Macquarie,9,42,144,121,0,0,0,108,424
McKellar,9,5,71,150,0,4,0,77,321
Melba,14,7,95,220,0,0,3,103,440
Page,9,52,125,161,0,0,5,110,458
Scullin,10,11,85,208,4,0,0,138,461
Spence,5,7,92,174,0,0,3,98,381
Weetangera,13,11,96,120,0,0,0,46,284
Molonglo Corridor,0,0,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0,0,0
Hume,0,0,0,0,0,0,0,19,20
Kowen,0,0,0,0,0,0,0,0,6
Canberra East,3,3,22,14,0,0,0,33,74
Canberra Airport,0,5,4,14,0,0,0,4,20
Majura,0,0,0,6,0,0,0,4,16
Amaroo,25,20,93,559,28,0,3,189,919
Bonner,52,28,136,829,53,0,8,389,1493
Casey,36,20,117,902,37,8,11,276,1413
Crace,34,16,218,565,17,3,10,197,1050
Forde,35,30,75,511,26,0,4,165,843
Franklin,40,77,236,764,15,0,10,366,1512
Gungahlin,27,101,98,609,19,3,8,348,1211
Hall,0,0,3,14,0,0,0,9,26
Harrison,45,61,298,819,28,0,12,380,1641
Mitchell,0,0,0,0,0,0,0,0,0
Ngunnawal,56,40,200,1179,38,0,6,471,2000
Nicholls,24,7,89,428,11,0,6,163,728
Palmerston,20,23,149,429,14,3,3,225,868
Gungahlin - East,0,0,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0,0,0
Jacka,0,8,12,91,9,0,0,56,175
Kenny,0,0,0,0,0,0,0,0,4
Moncrieff,0,0,3,8,0,0,0,8,25
Taylor,0,0,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0,0,0
Acton,7,28,15,3,0,0,0,160,205
Ainslie,20,66,369,90,0,0,7,162,714
Braddon,13,382,472,153,0,3,15,287,1328
Civic,11,191,176,66,0,0,9,214,668
Dickson,11,29,238,42,0,0,3,109,434
Downer,13,29,308,107,7,3,0,153,616
Hackett,13,9,210,77,0,0,0,90,398
Lyneham,16,55,510,123,0,0,12,232,942
O'Connor (ACT),28,70,421,100,0,0,5,186,815
Turner,14,264,302,87,0,0,10,204,882
Watson,34,14,481,336,4,5,3,250,1125
Black Mountain,0,0,0,0,0,0,0,0,0
Campbell,8,67,173,50,0,0,3,97,395
Duntroon,8,27,52,21,0,0,0,42,153
Parkes (ACT) - North,0,0,0,0,0,0,0,0,0
Reid,6,74,65,14,0,0,4,66,225
Russell,0,0,0,0,0,0,0,0,0
Deakin,17,34,167,31,0,0,0,59,303
Forrest,7,79,82,15,0,0,8,58,245
Griffith (ACT),12,145,349,65,0,5,12,165,762
Lake Burley Griffin,0,0,0,0,0,0,0,0,0
Narrabundah,22,51,479,105,0,0,11,225,888
Parkes (ACT) - South,0,0,0,0,0,0,0,0,0
Red Hill (ACT),15,20,165,48,0,0,11,83,334
Yarralumla,8,19,139,26,0,0,0,72,269
Barton,5,128,91,33,0,0,8,56,316
Fyshwick,0,0,0,0,0,0,0,0,3
Kingston (ACT),9,308,523,120,5,4,16,166,1150
Banks,22,21,131,452,32,4,0,175,841
Bonython,14,48,78,271,8,0,0,114,539
Calwell,22,20,119,432,11,3,3,165,775
Chisholm,17,13,114,377,13,0,4,154,682
Conder,13,20,99,350,18,0,4,144,654
Fadden,11,8,77,160,0,0,0,46,304
Gilmore,10,9,58,227,10,0,0,100,407
Gordon (ACT),20,20,194,575,20,0,0,204,1037
Gowrie (ACT),6,7,105,185,4,0,0,86,386
Greenway,0,59,49,107,4,0,5,117,340
Isabella Plains,11,9,125,359,17,0,0,140,666
Kambah,65,18,544,850,5,0,6,440,1929
Macarthur,10,5,23,104,0,0,0,28,166
Monash,17,20,154,307,7,0,5,152,667
Mount Taylor,0,0,0,0,0,0,0,0,0
Oxley (ACT),9,11,52,89,0,0,5,55,206
Richardson,11,4,87,254,4,0,0,105,468
Theodore,19,11,96,300,7,0,4,119,551
Tuggeranong,0,0,0,0,0,0,0,0,0
Wanniassa,28,35,273,411,3,0,7,227,991
Tuggeranong - West,0,0,0,0,0,0,0,0,0
Chapman,16,7,58,129,0,0,7,31,254
Duffy,22,4,92,237,0,0,0,73,439
Fisher,15,9,118,205,0,0,0,88,436
Holder,9,27,73,209,0,0,0,49,362
Rivett,4,9,105,262,0,0,0,97,477
Stirling,9,11,61,107,0,0,0,59,249
Waramanga,4,15,82,195,0,0,4,79,377
Weston,11,9,124,205,0,0,6,102,459
Scrivener,0,0,0,0,0,0,0,0,0
Chifley,11,54,110,133,0,0,4,80,402
Curtin,28,63,320,120,0,0,8,113,643
Farrer,21,3,111,160,0,0,3,67,361
Garran,14,105,88,118,0,0,4,114,451
Hughes,11,48,131,48,0,0,0,74,325
Isaacs,4,6,95,79,0,0,0,38,219
Lyons (ACT),8,64,154,116,0,0,0,145,493
Mawson,11,63,158,126,0,0,3,133,485
O'Malley,9,3,22,14,0,0,0,27,80
Pearce,14,24,96,113,0,0,0,44,295
Phillip,5,310,157,140,0,0,6,159,778
Torrens,14,11,85,102,0,0,0,53,266
Arboretum,0,0,0,0,0,0,0,0,0
Coombs,3,0,108,222,0,3,4,100,443
Denman Prospect,0,0,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0,0,0
Wright,14,3,164,417,3,0,6,134,738
ACT - South West,3,0,4,26,38,0,0,27,99
Namadgi,0,0,0,0,0,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0
No Usual Address (ACT),0,0,0,0,0,0,0,77,77
Christmas Island,3,121,0,6,0,0,0,72,208
Cocos (Keeling) Islands,13,0,0,22,0,0,0,30,72
Jervis Bay,3,10,0,6,3,0,0,31,56
Norfolk Island,7,68,88,0,0,0,0,27,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0
No Usual Address (OT),0,0,0,0,0,0,0,8,8
Total,128919,244110,739852,823640,175816,77823,20834,1087653,3298649
