SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Kingston Beach - Blackmans Bay,0,76,39,75,54,70,147,131,127,140,107,94,45,38,21,48,1214
Margate - Snug,0,58,43,81,59,65,122,129,111,106,78,58,22,29,15,44,1010
Mount Wellington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,0,16,9,24,10,20,26,44,20,42,39,32,20,23,9,18,351
Hobart,0,84,43,61,56,86,96,117,112,135,127,83,65,57,14,125,1253
Lenah Valley - Mount Stuart,0,46,26,52,45,67,112,129,126,153,127,109,52,68,18,67,1180
Mount Nelson - Dynnyrne,0,57,19,37,37,39,41,46,49,70,52,37,28,44,6,36,593
New Town,3,48,19,57,36,59,83,60,68,116,77,62,42,39,12,58,837
Sandy Bay,10,241,78,108,77,88,118,87,106,120,110,89,57,71,50,100,1515
South Hobart - Fern Tree,8,46,23,42,48,52,57,72,86,94,87,73,52,40,17,49,850
West Hobart,0,44,20,39,56,51,84,80,103,100,88,70,55,49,19,55,915
Dodges Ferry - Lewisham,0,33,19,68,70,81,142,118,95,85,47,35,9,3,4,67,884
Sorell - Richmond,3,32,36,69,74,86,118,125,130,128,58,44,23,21,3,57,1015
Invermay,3,13,16,53,30,43,44,47,24,36,23,18,9,5,4,30,394
Kings Meadows - Punchbowl,0,23,11,53,42,46,56,71,68,69,34,23,13,3,7,42,568
Launceston,3,42,13,45,28,34,49,58,57,77,47,48,25,40,14,55,637
Legana,0,20,12,37,31,44,58,50,58,40,32,16,17,11,3,18,446
Mowbray,4,31,14,70,56,50,57,55,43,39,12,9,0,0,0,41,479
Newnham - Mayfield,0,73,35,142,105,142,153,124,96,73,48,27,9,7,11,103,1148
Newstead,0,35,15,41,36,61,48,77,59,63,42,54,20,18,8,38,619
Norwood (Tas.),0,12,19,35,25,20,47,57,55,42,24,24,13,13,0,25,417
Prospect Vale - Blackstone,0,34,18,49,48,61,108,85,91,70,56,38,26,12,3,42,748
Ravenswood,0,8,9,43,55,58,81,62,39,20,4,8,0,0,0,56,447
Riverside,4,40,23,49,57,61,85,96,78,91,51,35,25,18,7,34,756
South Launceston,3,24,21,45,51,41,83,70,67,75,43,38,23,23,8,44,662
Summerhill - Prospect,0,22,16,52,31,59,80,83,76,73,39,27,13,9,0,37,617
Trevallyn,0,27,17,31,28,47,54,63,77,68,38,43,25,15,9,28,574
Waverley - St Leonards,0,16,14,40,33,48,73,50,51,62,24,15,5,7,4,34,463
West Launceston,0,30,23,33,34,46,62,66,61,59,50,47,27,17,9,24,568
Youngtown - Relbia,0,17,22,37,33,35,73,70,74,67,42,13,13,14,10,39,557
Beauty Point - Beaconsfield,0,16,13,45,37,27,42,45,27,9,11,4,0,0,0,24,301
Deloraine,0,34,31,69,62,54,71,66,40,33,24,16,6,3,6,50,586
Grindelwald - Lanena,4,19,23,46,51,54,69,55,50,45,31,17,26,10,10,38,545
Hadspen - Carrick,0,19,11,29,29,39,60,55,50,39,37,10,8,0,5,21,406
Westbury,0,24,23,35,46,39,49,42,39,29,18,11,6,10,0,31,399
Dilston - Lilydale,0,17,19,34,30,43,48,51,44,44,17,17,11,11,4,31,420
George Town,3,42,34,83,75,75,95,66,64,42,20,23,10,5,3,66,706
Longford,0,24,14,37,40,43,49,50,38,49,17,11,6,5,4,26,398
Northern Midlands,3,19,28,39,44,37,47,56,19,31,10,11,8,8,0,46,406
Perth - Evandale,0,22,27,44,54,35,81,60,67,64,40,16,10,9,0,37,563
St Helens - Scamander,0,26,28,58,37,57,72,62,47,38,11,13,4,6,5,38,499
Flinders and Cape Barren Islands,0,0,3,10,5,7,11,10,8,7,3,10,0,3,0,7,83
Scottsdale - Bridport,0,34,35,85,66,61,96,78,49,37,21,13,12,4,9,52,656
Central Highlands,0,10,11,28,26,34,20,12,16,12,6,0,7,0,6,8,200
Derwent Valley,0,7,14,38,37,29,43,33,30,26,18,15,3,3,4,28,322
Southern Midlands,0,29,23,65,54,55,85,96,72,46,26,19,3,9,3,47,634
Wilderness - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bruny Island - Kettering,0,16,9,14,20,29,29,35,22,20,12,11,6,9,0,27,255
Cygnet,0,31,16,52,34,34,50,52,35,29,14,6,8,7,0,32,411
Geeveston - Dover,5,23,11,36,34,37,42,53,27,22,11,6,6,9,0,31,345
Huonville - Franklin,0,29,46,99,85,92,132,121,90,96,56,31,16,14,5,69,977
Forestier - Tasman,0,14,10,18,19,21,25,21,11,18,7,3,0,3,0,23,185
Triabunna - Bicheno,0,23,4,30,47,39,47,49,40,30,17,3,5,4,3,28,374
Acton - Upper Burnie,0,9,19,36,46,37,56,45,44,41,13,11,9,4,0,25,402
Burnie - Ulverstone Region,0,34,23,52,41,43,54,51,66,40,23,26,8,6,5,44,516
Burnie - Wivenhoe,0,28,14,52,41,43,62,62,33,33,19,14,5,12,4,37,455
Parklands - Camdale,0,41,18,62,69,75,89,75,66,72,37,29,28,17,11,36,726
Penguin - Sulphur Creek,0,33,32,48,55,43,67,61,53,54,37,19,16,10,3,37,557
Romaine - Havenview,0,23,19,44,37,48,52,54,40,36,15,18,6,5,0,22,422
Somerset,0,9,18,34,47,32,58,58,45,39,17,15,4,5,3,26,421
Ulverstone,0,25,20,62,80,67,103,84,74,63,37,28,16,12,4,41,714
West Ulverstone,0,18,13,37,42,43,60,63,30,27,14,12,9,0,4,34,405
Wynyard,0,30,23,58,57,63,76,86,52,47,22,23,20,9,4,46,623
Devonport,4,67,45,133,153,181,247,224,146,131,82,41,35,16,9,82,1584
East Devonport,9,16,13,51,50,58,89,81,50,21,18,10,4,9,5,35,509
Latrobe,0,32,26,45,46,65,73,77,51,40,23,13,8,4,0,32,538
Miandetta - Don,0,22,18,30,34,59,53,42,57,55,20,20,14,11,0,19,464
Port Sorell,3,29,14,45,33,37,83,62,61,55,27,20,12,11,4,35,522
Quoiba - Spreyton,0,20,12,25,27,29,45,42,43,24,20,11,4,8,0,22,338
Sheffield - Railton,3,35,15,70,59,64,73,78,66,49,23,18,11,8,3,42,629
Turners Beach - Forth,0,16,7,17,27,26,34,39,35,37,26,19,13,3,0,18,333
King Island,0,16,8,13,10,11,20,21,14,16,16,7,4,3,0,12,181
North West,5,35,17,36,32,50,50,60,35,36,19,10,3,6,3,44,442
Smithton,0,27,9,39,45,50,59,48,52,21,16,13,4,4,3,25,420
Waratah,0,40,17,37,35,39,38,37,34,26,13,9,5,4,3,20,360
West Coast (Tas.),3,49,25,62,56,53,51,40,46,24,21,10,10,3,3,40,497
Wilderness - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
No Usual Address (Tas.),0,9,4,19,13,14,12,6,9,5,3,3,0,4,0,18,120
Darwin Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Darwin City,10,156,14,31,26,52,71,113,161,192,123,97,60,81,32,245,1472
East Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fannie Bay - The Gardens,3,42,10,12,12,16,26,38,44,78,69,59,52,56,7,60,577
Larrakeyah,6,74,3,4,19,28,40,36,54,109,66,49,48,54,20,93,713
Ludmilla - The Narrows,4,24,6,21,35,18,21,40,24,45,44,41,17,24,12,49,420
Parap,4,76,15,12,16,14,21,30,32,56,58,66,25,57,11,58,562
Stuart Park,3,53,19,12,26,25,41,73,100,120,80,83,41,75,21,126,904
Woolner - Bayview - Winnellie,0,37,9,9,13,7,16,26,44,71,61,47,38,50,13,54,513
Alawa,5,35,9,14,16,12,21,32,26,31,26,24,22,28,4,52,352
Anula,0,19,10,10,14,12,29,27,34,41,28,32,28,26,4,32,350
Berrimah,0,10,3,19,8,4,13,6,18,20,15,8,0,0,5,30,161
Brinkin - Nakara,0,58,12,19,24,39,38,31,49,60,58,55,30,36,13,62,584
Buffalo Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Grove,10,45,7,14,37,23,28,51,58,67,66,49,16,36,3,86,595
East Arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jingili,0,13,8,9,10,17,14,16,24,35,27,14,16,30,9,22,261
Karama,3,55,26,28,34,37,54,68,86,90,58,64,34,34,9,116,790
Leanyer,0,56,11,23,20,37,43,54,63,94,70,73,32,53,17,61,708
Lyons (NT),6,90,20,31,30,28,60,50,78,123,120,101,73,63,34,72,973
Malak - Marrara,4,50,13,29,34,28,53,51,56,75,64,54,29,42,7,78,671
Millner,0,28,11,12,27,28,32,36,39,57,49,25,20,32,0,42,456
Moil,0,23,7,8,14,10,21,24,36,27,29,28,14,18,0,38,297
Nightcliff,3,64,16,21,19,31,34,49,60,73,73,77,45,68,20,92,755
Rapid Creek,0,49,12,10,19,35,38,46,57,67,58,48,55,40,20,89,648
Tiwi,0,32,10,13,9,16,20,27,39,42,42,44,42,31,6,38,410
Wagaman,3,35,9,14,18,16,24,37,22,38,29,17,11,10,3,47,345
Wanguri,0,17,4,9,17,9,17,16,31,30,23,29,18,31,8,28,271
Wulagi,3,23,7,13,11,26,32,19,40,48,33,33,32,25,4,41,389
Howard Springs,0,29,3,20,17,14,21,22,51,52,44,24,28,41,17,109,493
Humpty Doo,0,86,32,37,29,57,74,91,133,146,112,102,70,110,27,160,1268
Koolpinyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Virginia,3,31,3,22,19,14,22,32,50,47,32,39,26,24,6,47,420
Weddell,4,54,15,24,26,20,42,42,54,69,53,46,22,31,0,91,590
Bakewell,5,52,12,18,14,12,24,57,81,85,74,53,19,29,5,51,586
Driver,6,46,12,22,21,17,34,36,54,59,44,31,19,23,4,56,480
Durack - Marlow Lagoon,3,99,21,26,20,22,34,71,67,99,80,76,46,44,13,68,783
Gray,5,28,8,33,32,28,57,44,48,46,49,37,30,19,3,83,542
Moulden,0,34,8,22,22,36,44,45,48,50,37,27,18,10,4,63,456
Palmerston - North,4,84,26,25,24,24,50,56,80,92,74,72,49,56,10,60,784
Palmerston - South,3,61,8,14,19,22,34,43,72,84,84,85,41,34,5,60,667
Rosebery - Bellamack,10,180,31,37,43,43,72,94,128,140,148,117,66,77,22,100,1314
Woodroffe,3,44,14,21,28,23,43,48,57,68,42,46,22,25,4,67,545
Charles,3,34,18,43,30,25,46,45,71,87,58,47,30,35,3,117,693
East Side,0,39,19,40,35,37,50,65,104,111,106,85,37,55,9,130,924
Flynn (NT),4,44,15,33,23,34,42,48,97,93,63,55,40,32,15,103,737
Larapinta,4,44,12,32,34,18,48,65,88,106,81,73,43,50,5,84,788
Mount Johns,0,48,11,17,14,22,25,54,64,87,79,92,53,45,15,130,749
Petermann - Simpson,0,3,19,63,14,20,37,68,55,47,33,11,0,3,0,89,456
Ross,0,7,17,36,9,12,17,21,29,30,24,28,12,9,0,45,288
Sandover - Plenty,0,6,38,199,53,30,24,16,16,17,13,6,5,7,0,103,528
Tanami,0,10,74,165,39,20,31,10,16,7,11,0,4,0,0,83,467
Yuendumu - Anmatjere,0,4,4,149,21,35,45,20,7,5,8,5,0,4,0,52,364
Barkly,0,9,37,84,53,41,44,32,18,13,6,8,5,0,0,45,380
Tennant Creek,0,11,16,74,31,21,26,24,26,41,36,25,23,21,7,67,446
Alligator,0,33,19,34,31,30,44,57,45,58,35,41,15,22,4,107,575
Daly,0,6,12,69,31,20,22,12,13,11,0,3,6,3,0,39,244
Thamarrurr,0,10,51,134,46,23,38,7,11,4,9,4,3,6,0,103,450
Tiwi Islands,0,8,77,103,48,24,33,18,6,12,4,10,6,4,0,35,398
West Arnhem,0,7,105,297,73,30,34,20,15,11,9,6,6,11,0,165,801
Anindilyakwa,0,16,12,27,27,15,27,15,10,16,29,13,14,21,10,194,444
East Arnhem,0,26,96,544,114,48,61,24,16,13,11,25,14,10,0,212,1213
Nhulunbuy,0,42,11,15,24,18,27,25,51,67,46,37,37,45,15,83,524
Elsey,0,5,33,106,38,15,33,17,10,9,0,3,0,3,0,37,324
Gulf,0,14,71,192,62,38,46,25,25,20,11,15,0,4,0,69,589
Katherine,0,81,50,82,59,51,78,108,140,191,151,105,51,70,14,317,1542
Victoria River,0,15,20,84,27,20,27,20,15,14,7,6,0,6,0,88,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
No Usual Address (NT),0,29,14,37,58,44,21,24,22,19,18,13,10,5,0,109,420
Aranda,0,18,7,14,7,12,12,15,13,20,37,28,23,49,10,4,279
Belconnen,5,151,36,75,63,65,97,106,104,158,185,143,77,88,17,121,1497
Bruce,3,115,34,29,34,54,81,72,90,156,172,128,92,118,21,67,1261
Charnwood,0,34,18,24,24,27,37,49,47,59,52,45,26,24,0,29,496
Cook,0,24,10,10,17,20,29,21,38,39,42,47,32,73,7,20,419
Dunlop,3,60,29,43,45,46,72,85,103,150,168,151,103,104,14,54,1235
Evatt,0,43,17,35,22,32,56,57,55,93,94,72,65,70,14,58,781
Florey,0,45,32,38,30,36,39,56,63,67,64,58,40,67,4,33,669
Flynn (ACT),4,30,8,19,21,22,23,23,34,67,57,55,32,46,3,19,459
Fraser,0,13,3,7,11,9,13,31,28,19,26,23,19,28,10,11,254
Giralang,7,20,14,21,21,17,39,39,52,59,68,44,43,34,4,27,512
Gooromon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawker,0,20,12,11,20,15,23,18,31,38,41,38,21,38,7,20,354
Higgins,4,26,10,25,14,26,26,28,37,50,54,59,34,29,7,20,455
Holt,0,41,21,27,28,39,35,48,81,101,89,68,47,52,4,48,735
Kaleen,3,57,32,29,44,38,55,75,74,134,119,88,53,83,20,44,956
Latham,0,40,10,27,18,23,52,36,38,69,78,62,35,52,4,39,585
Lawson,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,24
Macgregor (ACT),6,81,43,65,34,34,79,97,126,175,173,167,103,108,17,49,1358
Macquarie,0,36,11,21,16,25,26,28,28,31,53,66,31,39,4,32,424
McKellar,0,26,4,23,14,23,25,18,22,25,31,36,18,35,3,13,321
Melba,0,18,15,21,10,30,27,31,32,50,59,48,32,47,8,20,440
Page,0,28,21,17,12,21,33,17,42,56,62,49,31,44,4,25,458
Scullin,0,35,8,16,24,16,27,41,50,46,50,36,33,40,5,27,461
Spence,0,22,22,12,22,16,30,30,31,40,35,41,25,27,11,15,381
Weetangera,0,12,7,3,14,3,15,15,10,32,31,28,25,58,12,10,284
Molonglo Corridor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20
Kowen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Canberra East,0,0,0,13,6,4,3,12,11,3,3,6,0,0,0,14,74
Canberra Airport,0,0,0,0,0,0,0,3,4,0,3,3,0,5,0,0,20
Majura,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,3,16
Amaroo,4,62,29,38,34,36,60,43,79,104,106,107,54,108,30,35,919
Bonner,5,168,44,42,53,63,89,89,136,153,196,167,92,102,23,71,1493
Casey,0,116,18,33,33,36,44,103,136,184,202,185,111,121,18,75,1413
Crace,0,76,15,27,21,14,43,49,100,143,126,149,82,118,31,56,1050
Forde,3,59,19,36,25,21,38,42,68,81,106,93,75,130,25,33,843
Franklin,8,160,40,59,49,64,78,110,136,150,167,160,105,131,24,78,1512
Gungahlin,4,152,30,43,48,38,73,95,110,131,124,96,56,99,18,90,1211
Hall,0,0,0,0,0,0,9,0,0,3,0,4,0,0,5,0,26
Harrison,3,164,48,56,47,53,92,111,152,178,194,176,93,166,34,62,1641
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngunnawal,4,146,62,80,91,77,140,156,151,251,249,186,131,141,23,118,2000
Nicholls,0,54,22,25,24,17,46,45,45,62,93,68,57,81,38,50,728
Palmerston,3,72,22,42,41,32,43,58,88,85,96,82,41,90,9,48,868
Gungahlin - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacka,0,27,0,6,5,13,7,20,18,17,23,13,4,11,0,5,175
Kenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Moncrieff,0,0,0,0,0,0,3,0,5,4,0,5,0,0,0,4,25
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acton,0,33,13,16,18,44,53,11,0,5,3,5,0,0,0,8,205
Ainslie,0,35,5,30,19,40,35,30,46,71,73,80,53,115,36,36,714
Braddon,3,58,15,30,31,33,64,51,56,138,201,206,102,150,33,152,1328
Civic,3,63,14,21,18,22,30,21,21,69,66,71,49,96,18,77,668
Dickson,0,18,15,18,12,30,26,18,28,50,49,51,24,53,6,27,434
Downer,0,22,14,35,27,32,44,22,48,59,71,66,47,68,17,35,616
Hackett,0,20,17,12,16,23,29,18,19,33,41,40,26,76,19,19,398
Lyneham,4,45,13,38,28,44,48,50,43,99,121,117,79,101,20,81,942
O'Connor (ACT),0,37,14,30,37,41,50,30,34,67,95,98,69,113,35,48,815
Turner,3,60,14,21,15,34,39,31,42,92,107,119,56,143,24,86,882
Watson,4,63,25,39,42,44,67,72,87,108,122,137,90,127,23,66,1125
Black Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,0,31,9,12,5,14,26,14,29,46,41,38,28,54,37,25,395
Duntroon,0,10,11,4,0,0,4,7,14,31,11,20,11,7,0,19,153
Parkes (ACT) - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reid,0,11,4,10,5,9,18,13,11,21,31,19,15,29,7,27,225
Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deakin,0,20,5,9,7,9,9,9,13,43,23,26,32,61,28,9,303
Forrest,0,10,0,5,0,8,7,3,14,23,38,24,23,34,19,33,245
Griffith (ACT),0,51,4,16,11,19,27,30,31,74,108,104,66,107,35,64,762
Lake Burley Griffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narrabundah,0,43,19,38,25,44,26,44,47,60,94,104,74,152,44,74,888
Parkes (ACT) - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Hill (ACT),0,17,9,8,20,10,17,13,14,30,21,33,24,47,33,31,334
Yarralumla,0,20,8,12,15,15,16,3,21,16,25,20,23,40,31,18,269
Barton,0,12,6,3,0,3,0,8,9,26,56,38,41,64,23,28,316
Fyshwick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Kingston (ACT),0,33,6,8,18,11,27,27,49,109,191,204,107,214,50,102,1150
Banks,0,41,21,44,27,31,49,58,92,116,118,81,43,79,7,42,841
Bonython,0,47,11,23,20,16,32,50,50,59,73,64,32,41,10,14,539
Calwell,0,36,10,24,32,31,53,72,56,93,108,82,40,75,11,42,775
Chisholm,0,43,26,29,29,34,52,56,58,75,82,74,36,51,12,34,682
Conder,0,28,15,26,18,29,50,44,62,75,97,71,38,55,4,35,654
Fadden,0,18,6,4,12,7,12,15,20,33,42,42,28,46,17,7,304
Gilmore,0,19,8,16,21,19,30,24,33,54,60,62,17,22,3,19,407
Gordon (ACT),3,55,13,39,34,42,64,73,115,126,146,106,72,99,9,34,1037
Gowrie (ACT),0,15,8,16,22,17,19,24,35,51,56,52,21,28,8,16,386
Greenway,0,67,9,10,13,7,19,24,17,40,38,31,16,33,10,29,340
Isabella Plains,0,40,9,31,26,20,42,74,65,85,79,68,28,51,0,42,666
Kambah,0,85,53,81,86,101,116,148,140,207,223,214,116,202,31,117,1929
Macarthur,0,3,0,8,9,3,8,10,24,15,22,24,13,12,5,8,166
Monash,0,47,23,16,20,28,33,55,54,84,79,60,40,78,12,31,667
Mount Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxley (ACT),0,9,3,8,10,13,9,19,23,18,27,18,11,13,4,10,206
Richardson,0,21,9,11,22,21,41,41,69,64,60,39,21,29,0,16,468
Theodore,0,25,10,23,21,29,33,51,50,57,64,67,40,41,8,23,551
Tuggeranong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wanniassa,0,48,29,52,38,45,67,73,106,97,120,97,68,82,8,45,991
Tuggeranong - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapman,0,13,4,8,7,7,3,13,10,27,25,40,22,43,16,5,254
Duffy,0,15,3,16,15,19,24,23,35,38,45,66,29,72,17,26,439
Fisher,0,17,13,13,15,17,22,30,35,27,60,58,30,54,5,28,436
Holder,0,15,7,7,11,4,9,25,18,37,57,53,31,60,11,13,362
Rivett,0,20,12,18,17,26,23,29,34,47,53,60,39,61,6,25,477
Stirling,0,17,5,9,13,6,7,21,21,23,31,24,11,34,3,19,249
Waramanga,0,14,9,16,5,15,19,25,32,37,37,47,29,60,9,19,377
Weston,0,35,12,12,17,13,16,24,32,47,43,59,35,66,10,30,459
Scrivener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chifley,0,23,6,8,24,21,23,31,27,32,53,45,31,41,9,20,402
Curtin,0,33,22,12,13,20,25,40,57,63,66,81,47,106,31,36,643
Farrer,0,16,5,24,9,5,31,28,32,37,44,37,20,50,15,6,361
Garran,0,41,10,14,17,14,13,13,19,34,50,52,42,67,35,35,451
Hughes,0,19,6,10,7,4,14,11,20,33,31,34,20,63,17,33,325
Isaacs,0,15,4,10,3,10,10,11,18,24,22,26,15,35,12,7,219
Lyons (ACT),6,49,11,12,17,21,28,38,42,56,44,40,25,47,11,41,493
Mawson,3,44,19,17,13,23,33,34,38,39,51,64,26,49,12,26,485
O'Malley,0,8,0,0,8,5,5,0,4,3,11,8,3,9,8,5,80
Pearce,0,14,3,6,9,14,12,13,27,29,39,33,32,40,11,16,295
Phillip,4,41,3,14,19,22,36,40,55,103,127,124,49,58,13,68,778
Torrens,0,12,5,13,9,14,11,12,28,35,28,26,18,45,3,5,266
Arboretum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coombs,0,34,9,18,17,10,6,10,32,47,55,70,48,39,6,37,443
Denman Prospect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wright,0,44,11,12,11,15,15,21,35,94,136,106,76,78,18,67,738
ACT - South West,0,7,0,3,0,4,6,5,5,15,9,12,9,12,0,10,99
Namadgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (ACT),0,5,6,17,0,4,3,8,9,8,3,10,4,3,0,6,77
Christmas Island,0,22,5,11,8,7,10,14,16,24,16,10,16,15,0,32,208
Cocos (Keeling) Islands,0,10,8,6,4,0,6,8,5,6,0,6,3,3,0,8,72
Jervis Bay,0,0,0,0,4,10,5,4,0,7,6,0,0,0,0,15,56
Norfolk Island,0,9,5,10,11,22,38,40,23,7,6,4,8,4,0,7,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (OT),0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8
Total,13928,295290,106870,206752,188463,205496,293213,311972,329083,338640,247169,196086,117004,145858,60120,242723,3298649
