SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Golden Plains - South,55,158,52,96,116,44,4,39,6,6,245,834
Winchelsea,52,125,32,67,84,43,7,39,0,3,180,619
Belmont,135,548,85,214,271,134,8,52,18,3,515,1983
Corio - Norlane,118,235,93,370,298,259,59,211,17,17,1628,3304
Geelong,122,546,81,193,218,92,9,57,9,5,499,1826
Geelong West - Hamlyn Heights,203,854,131,336,429,173,14,77,15,10,763,3001
Grovedale,199,770,142,427,493,222,22,84,10,11,857,3238
Highton,185,853,81,252,365,145,14,42,16,6,639,2592
Lara,140,485,127,297,368,191,28,87,23,6,658,2410
Leopold,109,367,88,263,293,146,11,60,6,4,419,1762
Newcomb - Moolap,67,206,92,224,209,116,17,105,9,3,631,1680
Newtown (Vic.),124,433,34,130,163,64,0,15,7,0,301,1277
North Geelong - Bell Park,105,355,82,218,246,139,20,74,10,9,593,1857
Clifton Springs,92,267,63,222,196,99,7,51,10,6,444,1456
Lorne - Anglesea,52,112,32,53,53,28,0,11,0,0,129,468
Ocean Grove - Barwon Heads,225,919,135,342,429,177,14,72,9,10,739,3065
Portarlington,21,77,18,60,63,37,0,18,9,7,233,546
Point Lonsdale - Queenscliff,27,95,16,26,34,13,0,3,0,0,82,285
Torquay,233,822,85,254,312,175,4,54,22,4,598,2566
Alexandra,38,100,26,79,97,31,4,28,5,0,178,583
Euroa,44,96,38,66,54,23,0,54,3,0,149,531
Kilmore - Broadford,107,258,72,225,234,105,16,85,8,0,552,1660
Mansfield (Vic.),70,174,35,121,101,59,7,64,4,3,251,884
Nagambie,34,73,35,45,45,21,0,44,0,0,119,410
Seymour,27,65,35,87,74,36,3,54,0,3,282,666
Seymour Region,34,66,27,52,67,21,6,32,5,0,224,533
Upper Yarra Valley,0,0,3,0,0,0,0,3,0,0,9,21
Yea,27,44,16,40,36,16,0,24,0,0,117,320
Benalla,52,170,40,118,105,75,10,54,3,3,373,1003
Benalla Region,28,67,23,36,48,16,0,15,0,5,98,332
Rutherglen,31,80,23,45,57,28,0,44,0,0,104,411
Wangaratta,111,459,78,286,268,182,20,87,3,10,645,2152
Wangaratta Region,81,220,50,97,133,53,16,45,9,8,245,957
Beechworth,48,139,16,53,40,25,4,16,4,0,103,446
Bright - Mount Beauty,117,145,37,101,98,63,5,76,7,0,262,920
Chiltern - Indigo Valley,23,50,15,43,49,27,6,15,0,0,104,331
Myrtleford,23,75,25,52,50,36,3,22,0,0,120,408
Towong,49,93,25,53,64,30,0,37,0,4,174,519
West Wodonga,117,380,63,281,310,160,12,101,7,7,579,2025
Wodonga,188,633,133,412,427,242,25,140,14,9,1068,3291
Yackandandah,41,115,21,52,71,18,3,23,0,3,110,456
Drouin,111,307,72,224,261,151,12,130,14,5,684,1979
Mount Baw Baw Region,58,98,29,53,89,18,12,30,5,0,172,564
Trafalgar (Vic.),59,187,42,125,146,50,10,40,7,3,252,919
Warragul,137,441,77,236,301,135,14,114,12,12,690,2165
Alps - East,0,0,0,0,0,0,0,0,0,0,0,0
Bairnsdale,65,267,63,218,176,120,0,117,0,9,577,1608
Bruthen - Omeo,52,108,34,104,101,53,7,61,5,0,252,772
Lake King,0,0,0,0,0,0,0,0,0,0,0,0
Lakes Entrance,62,125,25,133,92,72,7,54,0,7,295,872
Orbost,33,87,25,65,56,22,4,37,3,0,179,514
Paynesville,25,81,25,79,48,32,5,23,0,3,141,468
Foster,105,119,40,68,87,39,0,50,0,3,244,756
French Island,4,0,0,0,0,0,0,0,0,0,0,12
Korumburra,92,127,37,113,116,73,7,70,9,5,335,978
Leongatha,90,231,54,122,161,82,8,45,3,7,365,1168
Phillip Island,69,172,44,154,116,108,4,43,3,0,342,1058
Wilsons Promontory,0,0,0,4,0,0,0,0,0,0,0,4
Wonthaggi - Inverloch,141,352,87,273,262,163,13,127,6,5,771,2192
Churchill,54,207,41,131,197,97,11,53,14,0,477,1291
Moe - Newborough,71,241,71,243,258,125,7,82,9,5,770,1881
Morwell,46,174,42,142,166,119,7,89,4,3,810,1612
Traralgon,205,721,136,390,665,284,18,108,26,12,1095,3660
Yallourn North - Glengarry,26,77,23,62,93,48,3,19,5,0,200,550
Alps - West,0,0,0,0,0,0,0,0,0,0,0,0
Longford - Loch Sport,26,56,18,39,43,21,5,21,0,3,130,365
Maffra,111,257,74,197,201,85,10,108,4,6,515,1570
Rosedale,64,72,20,49,70,27,5,18,0,0,149,478
Sale,112,399,67,209,196,114,9,105,6,7,638,1869
Yarram,44,73,25,50,49,34,0,34,0,3,160,466
Brunswick,633,2346,211,475,696,272,9,103,35,29,1242,6053
Brunswick East,308,1088,96,206,325,148,3,48,17,7,569,2812
Brunswick West,245,894,117,241,364,147,14,75,19,13,744,2878
Coburg,454,1557,151,380,594,229,25,103,38,21,1211,4771
Pascoe Vale South,119,453,43,98,241,75,4,18,12,3,354,1417
Alphington - Fairfield,204,551,49,114,180,79,8,22,15,3,314,1537
Northcote,557,2028,145,378,551,213,7,42,21,19,969,4950
Thornbury,419,1347,132,352,443,201,10,68,22,9,849,3855
Ascot Vale,291,890,63,208,330,121,14,56,19,11,751,2758
Essendon - Aberfeldie,433,1339,106,335,663,222,17,83,38,27,1088,4352
Flemington,166,632,38,164,230,77,6,56,13,18,719,2111
Moonee Ponds,287,794,56,165,355,116,7,51,23,8,561,2410
Carlton,211,913,67,203,231,110,7,51,13,6,1375,3198
Docklands,246,689,71,153,259,128,0,49,14,11,1038,2659
East Melbourne,133,477,21,53,117,44,0,7,5,0,251,1110
Flemington Racecourse,3,0,0,0,0,0,0,0,0,0,15,30
Kensington (Vic.),293,1063,66,162,338,121,10,31,12,9,549,2655
Melbourne,509,1723,303,885,620,414,15,350,52,30,3402,8305
North Melbourne,389,1403,124,309,425,188,10,95,28,6,1431,4416
Parkville,75,461,23,70,104,43,0,20,9,4,320,1126
South Yarra - West,157,486,28,78,138,72,0,11,8,4,292,1269
Southbank,506,1428,148,365,518,234,10,104,44,26,1522,4901
West Melbourne,0,0,0,0,0,0,0,0,0,0,0,0
Albert Park,440,897,50,121,318,132,0,23,27,13,735,2739
Elwood,524,1338,85,309,414,211,6,30,25,18,803,3767
Port Melbourne,590,1090,82,160,384,179,4,20,20,13,774,3311
Port Melbourne Industrial,0,0,0,0,0,0,0,0,0,0,0,4
South Melbourne,348,817,59,138,272,101,0,35,17,4,621,2418
St Kilda,782,1966,200,484,790,352,13,99,49,23,1747,6499
St Kilda East,490,1338,131,368,497,272,3,68,22,12,848,4058
Armadale,189,594,40,127,200,111,0,29,10,6,399,1707
Prahran - Windsor,708,1843,149,318,571,260,9,41,43,14,995,4950
South Yarra - East,733,1973,112,286,585,313,5,39,37,24,1251,5359
Toorak,240,624,57,96,208,112,3,14,19,9,478,1850
Abbotsford,281,844,57,146,228,112,3,25,16,7,457,2181
Carlton North - Princes Hill,185,802,45,116,201,102,8,12,19,8,351,1848
Collingwood,227,780,78,147,205,95,0,29,25,8,620,2207
Fitzroy,275,868,56,163,202,113,7,30,19,10,744,2482
Fitzroy North,342,1129,104,208,269,117,6,16,22,4,540,2758
Richmond (Vic.),1045,2855,187,458,872,425,19,99,55,42,1516,7565
Yarra - North,187,741,47,90,194,58,0,16,23,7,354,1723
Ashburton (Vic.),95,356,18,45,129,41,0,13,5,6,258,967
Balwyn,194,524,32,105,192,119,0,28,18,10,589,1804
Balwyn North,236,626,48,114,247,127,7,34,16,10,633,2096
Camberwell,299,876,52,138,297,126,5,27,12,8,664,2515
Glen Iris - East,268,774,40,92,224,76,3,12,16,10,482,1994
Hawthorn,527,1581,119,316,565,217,8,76,23,22,1087,4532
Hawthorn East,319,1049,52,170,355,126,9,39,15,10,669,2813
Kew,414,1174,67,199,377,178,4,45,22,11,832,3334
Kew East,96,288,15,45,96,32,3,11,4,3,216,809
Surrey Hills (West) - Canterbury,237,609,30,79,214,75,6,15,13,0,466,1734
Bulleen,130,356,38,91,198,93,0,11,4,13,368,1313
Doncaster,243,704,81,213,328,184,8,46,19,27,951,2804
Templestowe,203,509,59,98,264,110,9,23,11,7,555,1838
Templestowe Lower,164,484,32,112,230,103,0,33,16,9,441,1619
Doncaster East (North),146,442,54,116,253,94,0,18,4,7,532,1669
Doncaster East (South),153,544,75,170,257,106,9,28,12,11,675,2040
Blackburn,256,904,96,211,397,146,5,60,19,6,810,2932
Blackburn South,135,436,31,82,196,66,0,21,6,3,378,1365
Box Hill,214,844,104,259,352,153,9,83,14,19,1172,3238
Box Hill North,206,728,53,189,332,120,11,48,17,5,756,2466
Burwood,133,411,31,138,164,82,6,36,18,11,603,1622
Burwood East,103,355,38,107,183,81,3,26,4,6,409,1319
Surrey Hills (East) - Mont Albert,151,509,22,72,154,47,0,19,7,3,313,1292
Beaumaris,171,387,27,75,170,68,0,10,7,6,291,1218
Brighton (Vic.),369,797,39,107,274,133,0,19,11,11,712,2473
Brighton East,249,550,31,94,177,106,4,10,5,3,425,1657
Cheltenham - Highett (West),190,525,39,120,213,115,0,19,9,9,380,1621
Hampton,303,635,44,155,241,113,5,16,7,9,642,2164
Sandringham - Black Rock,246,606,35,99,228,93,4,12,16,4,473,1817
Bentleigh - McKinnon,338,897,66,221,376,143,10,40,23,12,778,2903
Carnegie,286,1014,104,254,425,191,9,75,32,19,1002,3404
Caulfield - North,312,1130,85,234,376,150,9,46,17,17,848,3234
Caulfield - South,272,826,71,197,278,132,6,35,9,5,535,2368
Elsternwick,222,682,51,152,237,119,3,31,10,5,397,1910
Hughesdale,117,398,39,92,162,70,5,25,6,5,332,1251
Murrumbeena,144,509,42,107,180,92,8,36,6,4,403,1524
Ormond - Glen Huntly,182,714,82,217,294,120,4,63,14,4,695,2390
Bentleigh East (North),210,658,63,175,291,112,10,32,16,8,491,2058
Bentleigh East (South),202,548,34,131,299,97,3,24,15,13,475,1844
Aspendale Gardens - Waterways,118,297,43,90,211,70,0,18,11,4,253,1113
Braeside,0,0,0,0,0,0,0,0,0,0,0,0
Carrum - Patterson Lakes,148,367,60,146,288,103,5,25,10,7,374,1532
Chelsea - Bonbeach,206,656,75,222,383,127,12,48,7,9,614,2356
Chelsea Heights,56,178,28,82,142,44,0,15,3,4,161,728
Cheltenham - Highett (East),335,985,120,267,472,231,16,66,22,9,832,3361
Edithvale - Aspendale,169,555,47,153,292,103,11,22,9,3,446,1820
Mentone,196,601,51,155,272,98,17,27,9,9,467,1902
Moorabbin - Heatherton,117,367,41,99,200,73,3,20,6,7,341,1282
Moorabbin Airport,0,0,0,0,0,0,0,0,0,0,0,0
Mordialloc - Parkdale,292,907,84,271,426,151,9,32,16,14,622,2828
Malvern - Glen Iris,399,1132,53,177,389,168,9,56,20,5,756,3171
Malvern East,319,951,64,184,307,145,3,41,21,17,810,2857
Bundoora - East,92,282,35,141,201,74,6,38,9,8,411,1302
Greensborough,212,907,95,271,445,143,6,41,24,10,630,2782
Heidelberg - Rosanna,216,774,64,148,292,97,7,28,19,3,575,2235
Heidelberg West,132,610,81,221,247,79,5,56,17,8,850,2297
Ivanhoe,198,639,40,111,210,53,0,10,8,5,377,1651
Ivanhoe East - Eaglemont,83,302,20,32,111,39,0,6,4,0,188,797
Montmorency - Briar Hill,204,735,56,222,362,94,13,41,12,10,474,2224
Viewbank - Yallambie,197,823,96,216,362,127,9,34,9,6,632,2509
Watsonia,108,393,43,124,225,84,8,31,12,3,324,1359
Kingsbury,89,326,33,125,179,96,8,58,3,3,665,1601
Reservoir - East,275,950,132,486,610,228,34,181,33,28,1692,4644
Reservoir - West,252,870,131,356,502,194,22,151,24,9,1319,3827
Preston - East,293,1015,126,365,438,188,16,102,13,15,1178,3753
Preston - West,185,665,70,170,242,111,9,38,16,12,593,2107
Eltham,278,865,90,244,418,131,6,37,4,14,553,2644
Hurstbridge,31,145,18,44,67,21,0,8,0,0,97,430
Kinglake,32,69,34,64,62,22,3,24,5,4,180,493
Panton Hill - St Andrews,28,122,20,45,101,25,3,8,0,0,125,476
Plenty - Yarrambat,82,313,31,88,213,68,3,16,3,5,275,1098
Research - North Warrandyte,65,218,20,66,115,41,0,3,0,4,156,699
Wattle Glen - Diamond Creek,127,498,87,199,316,90,0,18,7,9,363,1719
Bundoora - North,61,271,28,96,179,84,3,31,3,12,402,1173
Bundoora - West,43,174,21,88,120,61,6,20,4,6,284,839
Lalor,135,405,132,323,398,215,38,195,28,21,1486,3378
Mill Park - North,147,467,78,242,354,166,18,71,13,10,779,2354
Mill Park - South,106,315,59,175,235,98,20,47,7,10,591,1656
Thomastown,112,324,118,270,302,162,31,170,24,9,1260,2779
Wallan,181,327,83,290,438,173,35,75,15,4,844,2472
Whittlesea,56,171,51,116,177,67,3,23,4,6,314,979
Doreen,270,774,144,496,715,280,12,79,24,29,1095,3917
Epping - East,102,280,64,217,266,119,15,86,9,15,787,1954
Epping - South,56,137,48,142,159,98,23,80,5,9,548,1294
Epping - West,109,349,64,292,346,147,25,96,13,12,803,2259
Mernda,228,621,120,415,579,232,19,85,12,8,1085,3405
South Morang (North),114,472,75,250,406,172,15,41,18,7,617,2182
South Morang (South),117,344,68,214,317,127,16,71,9,6,516,1813
Wollert,106,365,73,238,282,131,16,74,9,10,713,2025
Airport West,124,296,37,108,206,96,7,23,12,5,297,1206
Essendon Airport,0,0,0,0,0,0,0,0,0,0,0,0
Keilor,82,233,21,56,184,79,9,15,6,10,254,941
Keilor East,263,826,124,267,573,199,22,59,30,18,950,3329
Niddrie - Essendon West,97,290,25,87,184,49,10,21,14,8,226,1000
Strathmore,122,357,38,90,195,62,0,14,8,8,236,1126
Gisborne,153,443,55,168,265,94,6,23,10,3,397,1615
Macedon,35,110,14,30,48,15,0,8,3,0,95,357
Riddells Creek,41,110,27,60,89,28,0,19,0,0,98,471
Romsey,81,209,50,124,160,62,14,45,4,3,330,1077
Coburg North,101,408,29,107,181,59,4,32,9,4,361,1291
Fawkner,70,297,53,195,189,86,4,52,7,4,986,1944
Pascoe Vale,348,1141,127,358,642,218,14,106,19,11,1172,4157
Glenroy,193,692,153,382,449,180,27,168,23,14,1466,3750
Gowanbrae,41,130,11,43,93,30,0,10,3,3,104,478
Hadfield,45,154,27,70,112,36,9,14,7,4,316,783
Sunbury,119,311,60,197,298,95,10,39,10,0,451,1596
Sunbury - South,241,673,174,476,727,268,44,89,28,11,1047,3779
Broadmeadows,33,138,42,202,116,56,19,85,13,12,1189,1909
Campbellfield - Coolaroo,44,134,38,224,142,63,19,65,6,11,1308,2061
Gladstone Park - Westmeadows,135,425,64,247,452,138,26,63,12,12,687,2265
Greenvale - Bulla,173,442,60,163,410,170,13,47,18,11,689,2192
Meadow Heights,41,166,37,179,152,75,10,71,9,11,1296,2048
Melbourne Airport,0,3,0,0,0,0,0,0,0,0,13,24
Roxburgh Park - Somerton,106,360,59,307,303,137,31,109,17,17,1721,3167
Tullamarine,64,169,35,120,188,69,17,41,12,3,312,1034
Craigieburn - Central,43,120,33,155,164,80,13,49,8,7,583,1255
Craigieburn - North,92,298,68,257,322,118,31,77,13,5,829,2108
Craigieburn - South,115,344,88,299,373,172,29,138,10,14,1120,2687
Craigieburn - West,137,429,95,382,387,161,53,118,7,11,1273,3057
Mickleham - Yuroke,43,109,29,57,103,31,8,31,4,3,187,607
Bayswater,120,383,70,215,288,125,24,61,3,5,562,1869
Knoxfield - Scoresby,157,485,69,197,348,141,22,71,15,6,571,2085
Lysterfield,81,156,27,65,170,45,6,11,6,0,184,757
Rowville - Central,174,478,66,204,361,155,26,47,11,16,510,2048
Rowville - North,95,284,29,86,179,60,9,22,6,3,268,1043
Rowville - South,109,315,51,120,240,94,6,24,13,7,344,1327
Wantirna,126,490,63,171,273,119,11,56,11,7,507,1834
Wantirna South,151,550,64,196,322,129,23,44,14,8,578,2083
Boronia,202,710,136,366,544,207,42,109,20,9,977,3331
Ferntree Gully (North),124,440,66,226,364,123,21,53,5,13,530,1973
Ferntree Gully (South) - Upper Ferntree Gully,133,459,87,207,374,146,26,70,8,13,515,2038
The Basin,38,148,24,67,108,32,5,18,7,0,139,589
Donvale - Park Orchards,180,510,38,110,263,117,6,23,7,11,445,1704
Warrandyte - Wonga Park,96,263,42,81,147,60,0,14,0,3,216,928
Bayswater North,103,393,73,191,301,112,12,59,3,4,465,1718
Croydon Hills - Warranwood,182,626,64,203,383,123,10,36,14,11,480,2129
Ringwood,202,700,79,273,426,173,18,81,13,11,868,2842
Ringwood East,267,868,94,286,393,116,16,54,14,4,801,2918
Ringwood North,114,328,24,111,197,72,3,19,4,8,275,1159
Croydon - East,173,572,111,306,386,142,20,75,13,6,707,2511
Croydon - West,137,457,72,156,290,104,8,51,11,7,528,1812
Croydon South,41,198,28,66,129,38,4,20,3,3,196,723
Forest Hill,129,390,49,119,224,89,11,31,9,3,440,1503
Mitcham (Vic.),234,854,78,211,367,120,16,44,11,12,693,2626
Nunawading,169,533,53,153,251,87,8,55,8,6,508,1836
Vermont,108,424,45,109,228,78,5,31,12,11,383,1439
Vermont South,113,353,29,83,195,76,5,21,7,0,369,1248
Belgrave - Selby,107,367,60,144,168,67,8,16,8,3,338,1290
Chirnside Park,96,245,53,156,230,99,7,30,10,3,314,1235
Healesville - Yarra Glen,156,295,94,201,217,93,15,84,8,5,470,1646
Kilsyth,80,245,61,172,223,84,13,54,0,3,357,1289
Lilydale - Coldstream,177,453,110,290,433,214,27,101,12,10,678,2507
Monbulk - Silvan,42,132,35,80,93,34,4,26,4,0,191,648
Montrose,59,205,38,89,166,54,8,30,14,5,186,842
Mooroolbark,237,610,138,386,566,219,34,89,20,10,832,3140
Mount Dandenong - Olinda,117,332,46,106,131,54,5,32,6,3,312,1144
Mount Evelyn,89,260,62,160,216,71,14,48,6,3,352,1284
Upwey - Tecoma,98,368,51,138,184,81,12,23,10,8,323,1289
Wandin - Seville,76,139,56,136,185,58,4,48,8,6,249,968
Yarra Valley,101,214,111,261,252,143,20,126,3,5,652,1892
Beaconsfield - Officer,146,441,76,234,423,148,16,56,11,3,487,2042
Bunyip - Garfield,59,162,57,90,180,65,4,41,4,4,263,927
Emerald - Cockatoo,153,496,114,216,368,130,15,78,15,8,584,2177
Koo Wee Rup,57,124,41,105,149,66,20,65,5,8,308,942
Pakenham - North,182,423,137,389,517,277,41,131,22,11,1116,3240
Pakenham - South,232,701,155,583,741,343,67,209,13,15,1610,4671
Berwick - North,215,629,93,262,493,188,13,65,16,3,728,2715
Berwick - South,304,909,147,386,701,244,37,108,23,12,1281,4157
Doveton,47,100,35,156,126,68,38,112,4,5,892,1592
Hallam,66,197,39,171,185,94,26,74,7,0,629,1500
Narre Warren North,50,164,29,62,174,53,9,18,3,0,200,756
Endeavour Hills - North,80,280,63,136,236,89,28,62,9,10,583,1579
Endeavour Hills - South,95,313,64,178,251,117,26,60,11,5,649,1758
Narre Warren - North East,108,298,53,188,311,140,15,72,11,9,589,1805
Narre Warren - South West,107,303,83,217,315,144,23,97,7,3,819,2125
Cranbourne,137,264,122,347,400,193,48,168,14,17,1193,2894
Cranbourne East,296,903,203,716,790,341,68,225,25,26,1529,5130
Cranbourne North,203,498,103,447,523,238,51,185,18,10,1181,3463
Cranbourne South,82,220,56,109,267,82,11,35,14,5,304,1184
Cranbourne West,165,385,107,421,418,200,69,159,7,17,1006,2952
Hampton Park - Lynbrook,117,315,109,440,419,175,103,250,23,21,1742,3713
Lynbrook - Lyndhurst,157,536,94,293,449,161,40,147,23,19,908,2815
Pearcedale - Tooradin,53,140,58,109,210,72,11,49,5,4,253,967
Narre Warren South (East),108,310,56,206,340,111,23,56,15,14,536,1764
Narre Warren South (West),124,348,86,293,427,164,60,111,13,9,940,2576
Clarinda - Oakleigh South,111,307,63,148,215,117,16,54,10,5,403,1447
Clayton South,90,399,79,216,231,130,29,122,13,20,794,2123
Dandenong,119,345,159,485,320,194,59,283,25,18,2658,4677
Dandenong North,128,438,115,295,396,177,59,141,13,8,1233,2998
Dingley Village,106,283,33,92,224,100,7,25,4,6,257,1147
Keysborough,281,755,123,342,594,254,81,273,17,21,1272,4015
Noble Park North,55,154,34,98,159,68,15,56,8,3,391,1036
Springvale,90,359,146,326,237,192,52,267,15,22,1491,3202
Springvale South,74,170,64,192,190,113,65,188,7,13,753,1821
Noble Park - East,59,263,103,286,224,99,35,157,22,13,945,2199
Noble Park - West,97,259,123,315,244,155,66,277,17,22,1322,2903
Ashwood - Chadstone,256,834,107,202,423,174,9,71,10,20,967,3079
Clayton,119,772,122,240,345,163,15,106,11,14,1554,3472
Glen Waverley - East,210,616,60,189,300,140,18,57,13,13,819,2431
Glen Waverley - West,194,672,75,192,317,142,10,62,9,11,896,2580
Mount Waverley - North,158,547,38,116,239,103,6,41,19,4,550,1819
Mount Waverley - South,227,709,82,156,333,131,9,49,11,13,705,2422
Mulgrave,227,717,79,219,430,180,21,80,13,12,820,2796
Oakleigh - Huntingdale,267,884,110,294,459,179,13,93,17,12,1000,3320
Wheelers Hill,203,623,64,163,302,127,4,41,18,11,567,2123
Ardeer - Albion,68,182,48,161,152,35,20,74,3,7,584,1334
Cairnlea,78,258,51,114,240,109,27,72,19,8,526,1500
Deer Park - Derrimut,218,688,143,456,680,241,104,249,32,35,1819,4671
Delahey,53,136,41,98,163,85,24,67,10,3,464,1145
Keilor Downs,103,292,66,151,295,102,16,55,7,13,580,1687
Kings Park (Vic.),58,165,66,180,213,93,55,136,15,13,935,1931
St Albans - North,96,263,117,309,243,155,53,212,21,19,1525,3007
St Albans - South,70,230,111,241,218,113,52,193,14,16,1154,2407
Sunshine,67,273,56,148,169,98,25,102,9,7,659,1619
Sunshine North,66,205,65,150,167,88,45,111,23,11,765,1697
Sunshine West,87,373,66,234,350,153,55,159,10,22,1169,2680
Sydenham,112,285,65,210,318,143,16,76,14,9,674,1908
Taylors Lakes,151,386,61,152,363,143,11,44,16,9,564,1901
Altona,176,504,76,146,292,118,14,28,17,6,490,1860
Altona Meadows,162,518,99,280,454,204,44,118,16,11,987,2884
Altona North,177,465,61,170,296,118,19,49,12,10,740,2120
Newport,447,1023,77,220,471,135,9,31,20,9,664,3120
Seabrook,44,153,27,67,121,33,16,22,8,0,298,790
Williamstown,230,565,44,117,237,99,3,24,11,9,509,1835
Braybrook,218,655,106,309,376,157,34,132,20,29,1231,3267
Footscray,287,902,105,347,386,159,18,154,29,22,1069,3480
Maribyrnong,229,590,73,219,321,155,17,68,15,9,639,2332
Seddon - Kingsville,255,688,54,127,250,94,10,41,15,6,432,1976
West Footscray - Tottenham,193,618,84,198,260,111,19,105,14,14,602,2224
Yarraville,417,1007,81,190,378,135,13,49,17,5,633,2925
Bacchus Marsh,174,525,98,312,452,198,37,67,21,3,874,2753
Hillside,232,676,112,363,686,279,35,90,34,19,1032,3552
Melton,133,243,81,285,387,168,49,101,11,16,1221,2694
Melton South,208,471,95,451,568,212,58,116,24,15,1530,3756
Melton West,151,378,93,321,437,209,55,86,20,11,1123,2886
Rockbank - Mount Cottrell,3,17,8,27,28,13,3,14,6,4,336,455
Taylors Hill,253,639,109,334,702,227,36,96,29,14,1100,3542
Burnside,34,99,21,66,94,40,15,30,6,0,241,650
Burnside Heights,65,199,48,115,198,54,8,43,12,7,421,1171
Caroline Springs,263,685,110,314,573,252,35,87,28,12,1093,3453
Hoppers Crossing - North,134,344,88,315,406,152,48,95,16,18,1012,2611
Hoppers Crossing - South,122,334,98,302,326,172,64,144,13,16,1188,2771
Laverton,109,354,75,162,203,92,28,64,13,14,677,1796
Tarneit,311,1047,230,1000,1036,356,140,240,32,42,2737,7185
Truganina,248,795,127,590,650,279,95,171,26,36,1989,5010
Werribee - South,96,266,65,137,232,89,19,56,11,19,559,1550
Wyndham Vale,225,585,132,544,705,290,66,145,18,18,1647,4386
Point Cook - East,234,442,55,159,320,133,16,49,20,18,838,2276
Point Cook - North,317,938,146,414,682,234,31,91,30,22,1459,4361
Point Cook - South,237,703,113,299,522,187,21,67,19,7,1150,3318
Werribee - East,129,307,89,318,335,195,58,121,13,14,1328,2912
Werribee - West,80,253,74,188,281,126,30,55,12,3,603,1711
Carrum Downs,167,419,131,409,545,256,55,131,16,13,1050,3188
Frankston,180,622,121,371,396,220,20,111,17,16,1159,3236
Frankston North,146,342,114,352,308,173,36,111,5,16,1114,2712
Frankston South,177,589,68,203,297,156,8,48,8,8,444,1998
Langwarrin,222,623,145,419,643,257,20,82,23,19,792,3239
Seaford (Vic.),196,528,95,293,360,166,29,52,8,7,775,2518
Skye - Sandhurst,165,409,62,234,399,144,11,68,7,10,528,2047
Dromana,67,210,57,132,162,92,5,35,8,3,318,1094
Flinders,41,79,29,35,42,25,0,8,0,4,122,389
Hastings - Somers,145,343,153,370,337,202,19,126,9,6,920,2627
Mornington,214,627,123,366,359,193,14,88,12,12,664,2674
Mount Eliza,195,509,56,126,249,97,5,21,9,5,453,1719
Mount Martha,172,572,79,218,294,163,8,32,7,7,467,2004
Point Nepean,137,275,71,224,202,141,8,73,6,9,566,1707
Rosebud - McCrae,127,320,114,281,227,180,8,104,8,10,667,2032
Somerville,173,401,125,279,371,194,20,87,14,8,581,2249
Ararat,44,122,39,129,92,43,6,78,5,5,238,792
Ararat Region,54,53,12,27,37,13,3,12,0,0,100,312
Horsham,97,447,72,254,272,159,16,72,8,5,583,1987
Horsham Region,35,77,11,42,56,20,0,14,7,0,103,351
Nhill Region,47,121,18,59,82,36,6,34,3,0,207,612
St Arnaud,36,50,12,34,28,15,0,24,0,0,90,297
Stawell,53,127,40,144,75,52,8,56,3,3,295,850
West Wimmera,28,59,5,23,31,4,0,14,3,0,70,248
Yarriambiack,53,102,16,88,58,19,0,26,4,3,199,567
Irymple,48,140,21,79,147,66,5,30,5,5,199,738
Merbein,19,73,24,57,72,36,0,30,0,4,180,491
Mildura Region,40,56,10,35,39,18,4,30,3,7,124,354
Red Cliffs,44,83,29,57,63,50,4,52,10,0,268,665
Mildura - North,95,413,72,256,237,146,10,161,9,12,979,2388
Mildura - South,112,374,60,206,244,166,10,80,12,11,600,1871
Buloke,30,112,13,48,68,39,0,30,3,0,178,530
Gannawarra,76,90,11,69,69,36,4,38,0,3,188,583
Kerang,17,52,17,42,42,26,3,19,0,0,128,362
Robinvale,31,32,11,23,41,17,6,51,9,9,220,429
Swan Hill,82,273,70,123,172,89,4,66,7,9,458,1347
Swan Hill Region,53,92,26,63,76,34,4,41,5,0,240,626
Echuca,116,355,79,226,199,153,9,84,4,3,450,1673
Kyabram,72,196,49,138,147,84,4,94,0,0,383,1174
Lockington - Gunbower,39,53,16,35,55,28,4,22,0,0,141,385
Rochester,28,55,25,39,32,23,6,27,0,5,123,361
Rushworth,27,50,17,30,33,14,0,19,0,3,126,328
Cobram,40,75,24,65,95,36,6,64,0,6,238,645
Moira,27,34,10,18,28,21,6,16,0,0,90,241
Numurkah,129,202,48,133,153,82,14,108,5,10,371,1246
Yarrawonga,50,130,29,102,75,54,7,59,0,8,230,749
Mooroopna,44,156,34,128,125,83,4,61,6,5,342,979
Shepparton - North,150,574,77,242,277,127,13,149,10,8,861,2490
Shepparton - South,151,479,98,297,356,167,21,161,8,18,1185,2934
Shepparton Region - East,40,75,18,32,63,18,4,23,0,0,115,392
Shepparton Region - West,92,185,44,127,151,61,3,88,7,3,350,1115
Glenelg (Vic.),55,111,42,98,94,52,13,49,0,7,280,800
Hamilton (Vic.),60,216,54,126,142,82,0,60,0,6,272,1028
Portland,59,193,48,152,131,78,11,78,4,0,439,1191
Southern Grampians,82,124,28,45,68,27,4,32,0,0,164,584
Camperdown,10,74,17,38,43,29,0,22,0,0,112,341
Colac,66,180,57,198,158,106,4,131,11,7,387,1307
Colac Region,69,92,22,63,65,17,0,58,0,6,149,535
