SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Turners Beach - Forth,10,0,4,0,12,0,312,333
King Island,7,3,0,0,11,0,162,181
North West,13,3,0,0,39,0,394,442
Smithton,6,10,5,0,17,0,377,420
Waratah,7,0,0,0,17,0,330,360
West Coast (Tas.),12,4,4,0,34,0,438,497
Wilderness - West,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,4,3
No Usual Address (Tas.),11,0,4,0,11,0,95,120
Darwin Airport,0,0,0,0,0,0,0,3
Darwin City,269,241,76,0,222,5,656,1472
East Point,0,0,0,0,0,0,5,5
Fannie Bay - The Gardens,87,30,0,0,44,0,407,577
Larrakeyah,104,83,16,0,82,0,427,713
Ludmilla - The Narrows,51,49,11,0,45,3,264,420
Parap,81,37,22,0,60,0,360,562
Stuart Park,144,92,19,0,125,5,522,904
Woolner - Bayview - Winnellie,85,20,6,0,44,0,352,513
Alawa,62,44,13,0,39,0,195,352
Anula,59,28,3,0,28,0,232,350
Berrimah,41,20,5,0,23,0,71,161
Brinkin - Nakara,180,113,25,0,54,0,213,584
Buffalo Creek,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0
Coconut Grove,133,101,16,3,78,0,269,595
East Arm,0,0,0,0,0,0,0,4
Jingili,42,22,7,0,13,0,171,261
Karama,167,98,24,5,90,5,406,790
Leanyer,156,68,20,0,47,0,410,708
Lyons (NT),255,62,7,0,52,5,590,973
Malak - Marrara,107,54,30,0,69,4,414,671
Millner,108,71,18,0,42,0,215,456
Moil,48,36,13,0,28,0,173,297
Nightcliff,154,96,9,0,84,3,406,755
Rapid Creek,106,68,16,8,85,3,366,648
Tiwi,92,58,7,0,28,0,227,410
Wagaman,77,65,24,6,35,7,129,345
Wanguri,60,19,8,5,28,0,156,271
Wulagi,60,37,14,0,33,0,251,389
Howard Springs,20,6,0,0,102,0,350,493
Humpty Doo,63,26,19,0,133,0,1034,1268
Koolpinyah,0,0,0,0,0,0,3,3
Virginia,23,9,0,0,46,0,345,420
Weddell,18,11,21,5,83,0,463,590
Bakewell,66,45,3,0,40,0,433,586
Driver,48,51,3,0,50,4,329,480
Durack - Marlow Lagoon,93,46,9,0,53,0,584,783
Gray,66,56,15,0,80,0,334,542
Moulden,34,33,0,0,53,0,340,456
Palmerston - North,61,35,14,0,55,0,621,784
Palmerston - South,116,48,14,0,50,0,438,667
Rosebery - Bellamack,174,92,12,0,83,0,959,1314
Woodroffe,49,33,8,0,58,0,402,545
Charles,120,49,3,0,100,0,416,693
East Side,150,52,23,0,114,0,592,924
Flynn (NT),130,60,11,0,91,7,443,737
Larapinta,137,39,6,0,71,8,536,788
Mount Johns,128,67,13,0,116,6,426,749
Petermann - Simpson,114,76,10,0,67,10,169,456
Ross,63,19,3,0,38,3,158,288
Sandover - Plenty,246,95,4,0,86,5,89,528
Tanami,171,185,23,0,38,6,54,467
Yuendumu - Anmatjere,123,142,21,0,41,7,30,364
Barkly,101,96,16,0,31,0,132,380
Tennant Creek,116,43,7,0,44,4,230,446
Alligator,59,31,20,0,75,7,387,575
Daly,61,64,0,0,30,0,79,244
Thamarrurr,85,154,73,0,90,5,37,450
Tiwi Islands,252,52,5,0,27,18,45,398
West Arnhem,449,156,24,0,100,17,59,801
Anindilyakwa,211,50,4,0,26,6,142,444
East Arnhem,526,514,36,16,35,6,84,1213
Nhulunbuy,59,14,9,0,80,3,366,524
Elsey,102,136,6,0,30,4,47,324
Gulf,306,73,13,0,21,8,165,589
Katherine,156,102,14,0,296,11,967,1542
Victoria River,123,59,20,6,66,11,80,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,4
No Usual Address (NT),39,70,14,0,105,9,181,420
Aranda,40,21,6,0,3,0,214,279
Belconnen,408,258,52,3,108,0,662,1497
Bruce,314,188,32,0,57,4,671,1261
Charnwood,46,17,10,0,23,0,399,496
Cook,60,17,0,0,10,0,319,419
Dunlop,157,91,12,6,43,0,927,1235
Evatt,94,52,5,0,44,0,586,781
Florey,136,76,18,3,27,0,411,669
Flynn (ACT),46,8,3,3,8,0,385,459
Fraser,16,5,0,0,11,0,222,254
Giralang,65,37,4,0,22,3,388,512
Gooromon,0,0,0,0,0,0,0,0
Hawker,59,31,10,0,15,0,241,354
Higgins,59,24,4,0,14,0,352,455
Holt,78,34,13,3,35,4,567,735
Kaleen,182,83,12,0,31,3,642,956
Latham,62,27,5,0,29,0,458,585
Lawson,4,10,0,0,7,0,4,24
Macgregor (ACT),221,116,13,0,31,0,966,1358
Macquarie,78,48,5,0,18,6,269,424
McKellar,74,21,5,0,14,0,205,321
Melba,39,24,9,5,17,4,348,440
Page,84,51,12,0,21,0,292,458
Scullin,68,49,10,0,22,0,306,461
Spence,33,16,7,0,11,0,310,381
Weetangera,37,16,0,0,7,0,225,284
Molonglo Corridor,0,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0,0
Hume,0,0,0,0,19,0,0,20
Kowen,0,0,0,0,0,0,7,6
Canberra East,8,3,0,0,13,0,48,74
Canberra Airport,3,0,0,0,0,0,13,20
Majura,0,0,0,0,3,0,7,16
Amaroo,148,44,13,0,21,3,696,919
Bonner,441,199,47,0,62,3,739,1493
Casey,284,121,22,0,58,5,917,1413
Crace,282,138,14,0,44,0,566,1050
Forde,200,78,18,0,28,0,515,843
Franklin,463,268,71,0,58,0,648,1512
Gungahlin,328,194,56,0,71,0,550,1211
Hall,5,0,0,0,0,0,21,26
Harrison,440,259,54,0,52,0,831,1641
Mitchell,0,0,0,0,0,0,0,0
Ngunnawal,353,168,30,0,92,5,1351,2000
Nicholls,133,48,12,0,38,0,494,728
Palmerston,172,83,20,0,41,0,550,868
Gungahlin - East,0,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0,0
Jacka,56,29,4,0,3,0,85,175
Kenny,0,0,0,0,0,0,4,4
Moncrieff,10,0,0,0,4,0,7,25
Taylor,0,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0,0
Acton,77,77,5,0,8,0,35,205
Ainslie,71,28,0,0,30,0,576,714
Braddon,207,103,19,6,135,0,860,1328
Civic,144,91,15,0,79,0,337,668
Dickson,72,24,13,5,25,0,297,434
Downer,99,57,20,0,28,0,415,616
Hackett,48,19,7,0,19,0,311,398
Lyneham,194,67,12,0,77,0,588,942
O'Connor (ACT),124,39,5,0,40,4,601,815
Turner,169,77,18,0,77,0,547,882
Watson,200,68,17,3,57,0,779,1125
Black Mountain,0,0,0,0,0,0,0,0
Campbell,46,22,4,0,22,3,301,395
Duntroon,5,0,0,0,15,0,133,153
Parkes (ACT) - North,0,0,0,0,0,0,0,0
Reid,40,18,8,0,26,3,135,225
Russell,0,0,0,0,0,0,0,0
Deakin,62,17,6,0,6,0,223,303
Forrest,41,6,0,0,25,0,167,245
Griffith (ACT),133,28,12,5,51,0,534,762
Lake Burley Griffin,0,0,0,0,0,0,0,0
Narrabundah,142,51,11,0,66,0,617,888
Parkes (ACT) - South,0,0,0,0,0,0,0,0
Red Hill (ACT),69,21,10,0,24,0,209,334
Yarralumla,47,17,0,0,9,0,189,269
Barton,50,18,0,0,27,0,220,316
Fyshwick,0,0,0,0,0,0,3,3
Kingston (ACT),150,24,8,0,82,0,889,1150
Banks,70,25,0,0,37,0,707,841
Bonython,101,28,7,0,5,0,401,539
Calwell,67,24,6,0,40,0,633,775
Chisholm,73,24,10,0,26,0,553,682
Conder,72,17,3,4,30,0,534,654
Fadden,33,9,3,0,5,0,252,304
Gilmore,46,11,4,0,10,4,336,407
Gordon (ACT),124,42,7,0,27,3,832,1037
Gowrie (ACT),53,16,5,0,10,0,302,386
Greenway,104,46,3,0,18,3,165,340
Isabella Plains,95,28,7,0,35,0,496,666
Kambah,199,62,29,0,92,0,1545,1929
Macarthur,15,5,0,0,7,0,148,166
Monash,100,44,4,0,29,0,495,667
Mount Taylor,0,0,0,0,0,0,0,0
Oxley (ACT),29,10,3,0,8,0,151,206
Richardson,42,27,4,0,9,0,386,468
Theodore,70,13,3,0,20,0,445,551
Tuggeranong,0,0,0,0,0,0,0,0
Wanniassa,109,54,19,0,36,0,766,991
Tuggeranong - West,0,0,0,0,0,0,0,0
Chapman,38,4,3,0,5,0,208,254
Duffy,39,15,0,0,22,0,356,439
Fisher,48,16,0,0,27,0,339,436
Holder,38,21,3,0,10,0,285,362
Rivett,50,21,3,0,23,0,387,477
Stirling,27,8,0,0,11,0,197,249
Waramanga,42,11,4,0,20,0,298,377
Weston,64,19,6,0,24,0,345,459
Scrivener,0,0,0,0,0,0,0,0
Chifley,87,41,7,0,24,0,247,402
Curtin,90,39,3,4,24,0,487,643
Farrer,69,17,9,0,10,0,261,361
Garran,137,53,4,0,30,0,225,451
Hughes,51,13,4,0,18,0,229,325
Isaacs,61,20,3,0,3,0,128,219
Lyons (ACT),120,57,16,0,35,0,261,493
Mawson,138,69,8,0,24,5,248,485
O'Malley,27,5,7,0,5,0,33,80
Pearce,61,13,0,0,14,0,210,295
Phillip,266,114,14,0,68,0,314,778
Torrens,56,24,10,0,3,0,181,266
Arboretum,0,0,0,0,0,0,0,0
Coombs,125,52,11,0,28,0,217,443
Denman Prospect,0,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0,0
Wright,153,37,6,0,60,0,474,738
ACT - South West,10,3,0,0,10,0,81,99
Namadgi,0,0,0,0,4,0,9,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0
No Usual Address (ACT),10,5,0,0,9,0,55,77
Christmas Island,47,49,11,0,24,0,66,208
Cocos (Keeling) Islands,38,4,6,0,0,0,24,72
Jervis Bay,6,0,0,0,7,0,39,56
Norfolk Island,88,16,4,0,9,3,72,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0
No Usual Address (OT),4,0,0,0,0,0,3,8
Total,544699,272050,87208,10090,191504,6687,2186410,3298649
